N	2gram	Propp_Morf_1	Hudozhes
1	в качестве	5	19
2	состоит в	2	16
3	и не	12	16
4	в том	6	15
5	и в	13	15
6	не только	4	15
7	в частности	2	13
8	может быть	52	13
9	тогда как	2	13
10	а в	7	12
11	но не	4	11
12	в этом	14	11
13	представляет собой	17	10
14	как бы	3	10
15	отношению к	4	10
16	но и	4	10
17	так и	6	10
18	по отношению	4	10
19	то же	7	10
20	а не	11	10
21	точки зрения	2	9
22	с другой	8	7
23	в то	3	7
24	но в	2	7
25	с его	2	6
26	что в	8	6
27	том что	4	6
28	не в	3	6
29	приводит к	2	6
30	не может	14	6
31	могут быть	16	5
32	можно сказать	2	5
33	а также	4	5
34	только в	2	5
35	того что	3	5
36	то что	8	5
37	или менее	2	5
38	другой стороны	4	5
39	уже не	2	5
40	более или	2	5
41	а на	3	4
42	в этих	13	4
43	прежде всего	9	4
44	к тому	4	4
45	в ходе	4	4
46	и как	5	4
47	в другом	2	4
48	еще не	3	4
49	например в	2	4
50	хотя и	3	4
51	он не	3	4
52	и тем	2	4
53	со стороны	3	4
54	в форме	6	4
55	входит в	2	4
56	сказать что	2	4
57	между тем	5	4
58	мы имеем	9	4
59	говорить о	3	4
60	как это	3	4
61	не менее	5	3
62	если бы	2	3
63	однако в	2	3
64	он должен	2	3
65	это не	6	3
66	как уже	2	3
67	что он	4	3
68	и к	4	3
69	тем не	5	3
70	в пределах	3	3
71	по своему	2	3
72	далеко не	5	3
73	к нему	3	3
74	в целом	3	3
75	не на	2	3
76	таким образом	21	3
77	как и	3	3
78	и что	2	3
79	во втором	3	3
80	с точки	2	3
81	и для	2	3
82	потому что	3	3
83	и ее	3	3
84	его в	2	3
85	герой не	2	3
86	в которой	3	3
87	на этом	3	2
88	подобных случаях	4	2
89	ни к	2	2
90	себя и	2	2
91	в нашем	3	2
92	тому что	4	2
93	вовсе не	4	2
94	в итоге	2	2
95	к герою	3	2
96	об этом	4	2
97	одна из	4	2
98	в глаза	2	2
99	могла бы	4	2
100	случае не	3	2
101	несмотря на	4	2
102	никто не	3	2
103	во всех	4	2
104	чем это	2	2
105	не является	3	2
106	оно не	2	2
107	не все	6	2
108	и др	10	2
109	дело не	2	2
110	как в	3	2
111	здесь не	2	2
112	а с	2	2
113	все эти	2	2
114	это и	2	2
115	того чтобы	3	2
116	для того	2	2
117	из которых	3	2
118	и по	2	2
119	или в	4	2
120	так же	3	2
121	право на	2	2
122	но как	2	2
123	в этой	2	2
124	о том	2	2
