N	2gram	Propp_Isto_3	Narrotol
1	не только	14	31
2	но и	12	27
3	и не	12	23
4	при этом	2	19
5	может быть	11	15
6	в частности	5	14
7	в качестве	2	14
8	как и	3	13
9	а не	6	13
10	а в	6	13
11	только в	4	12
12	в этом	17	12
13	и в	22	11
14	в данном	4	11
15	состоит в	3	10
16	и его	4	10
17	то что	7	9
18	то же	6	8
19	в том	9	8
20	данном случае	3	8
21	со стороны	3	8
22	не может	4	8
23	уже не	7	8
24	представляет собой	3	8
25	если бы	6	7
26	у него	3	7
27	том что	8	7
28	но в	10	7
29	одного из	2	6
30	к тому	3	6
31	а также	2	6
32	не в	4	6
33	и он	2	6
34	не мог	2	6
35	один из	5	6
36	жизни и	2	6
37	тому же	2	6
38	или в	11	6
39	в его	3	6
40	в этой	5	6
41	можно сказать	2	5
42	на другой	2	5
43	так и	2	5
44	и на	4	5
45	потому что	3	5
46	точки зрения	2	5
47	как правило	2	5
48	никогда не	3	4
49	из этих	3	4
50	матери и	2	4
51	что на	4	4
52	все же	5	4
53	но не	7	4
54	прежде всего	3	4
55	еще не	10	4
56	у нее	2	4
57	к нему	5	4
58	в ней	2	4
59	в нем	9	4
60	из них	7	4
61	как в	2	4
62	так в	6	4
63	того что	5	4
64	или не	2	4
65	хотя и	2	4
66	на себя	2	4
67	в то	2	4
68	что у	3	4
69	о том	3	4
70	одна из	2	4
71	в одном	2	4
72	не менее	5	3
73	но они	2	3
74	что в	15	3
75	в своем	2	3
76	это не	6	3
77	в жизни	2	3
78	не всегда	4	3
79	что он	9	3
80	тем не	5	3
81	у нас	4	3
82	и как	3	3
83	в целом	3	3
84	и о	2	3
85	он не	5	3
86	отношению к	2	3
87	по отношению	2	3
88	не было	2	3
89	о ней	2	3
90	и то	2	3
91	их в	3	3
92	и с	4	3
93	и ее	3	3
94	как будто	2	3
95	в русской	3	3
96	и все	3	3
97	представляют собой	4	3
98	как это	4	3
99	мы имеем	19	3
100	между тем	2	3
101	для них	3	2
102	в этих	11	2
103	его и	4	2
104	в свою	4	2
105	как мы	8	2
106	же в	2	2
107	да и	2	2
108	с появлением	4	2
109	они и	3	2
110	все что	3	2
111	до сих	5	2
112	в пределах	4	2
113	она не	4	2
114	они могут	2	2
115	не вполне	6	2
116	всяком случае	2	2
117	к жизни	2	2
118	не имеет	2	2
119	мать и	2	2
120	вместе с	9	2
121	быть и	3	2
122	сих пор	5	2
123	только на	2	2
124	где они	2	2
125	другой стороны	7	2
126	после смерти	2	2
127	в связи	3	2
128	не могла	2	2
129	в особенности	2	2
130	если не	2	2
131	все равно	3	2
132	и вот	2	2
133	что не	2	2
134	и даже	2	2
135	с другой	7	2
136	и для	2	2
137	друг друга	6	2
138	роль в	2	2
139	ничего не	6	2
140	с ними	3	2
141	дело с	2	2
142	сказать что	3	2
143	во всяком	2	2
144	мы можем	6	2
145	и от	3	2
146	он и	3	2
147	связи с	6	2
148	здесь не	3	2
149	в чем	3	2
