N	2gram	Trubetskoy_1	Myslijsy
1	потому что	5	49
2	для нас	2	31
3	и в	14	24
4	может быть	9	23
5	в сознании	3	23
6	то что	13	20
7	и не	19	19
8	а не	2	18
9	в том	17	18
10	что в	4	16
11	по себе	2	15
12	не только	9	15
13	при этом	5	13
14	было бы	5	13
15	не в	4	13
16	но не	4	12
17	не может	22	12
18	то же	11	12
19	мы можем	2	12
20	если бы	6	11
21	что и	3	11
22	вместе с	4	11
23	только в	5	11
24	таким образом	11	11
25	для него	6	10
26	в себе	9	10
27	так что	2	10
28	тогда как	2	10
29	так как	4	10
30	тогда когда	4	10
31	точно так	2	9
32	в нем	5	9
33	как бы	4	9
34	но и	10	9
35	а в	5	8
36	том что	9	8
37	более или	4	8
38	или менее	4	8
39	и на	5	8
40	в этом	17	8
41	не могут	4	7
42	прежде всего	8	7
43	во всяком	9	7
44	всяком случае	6	7
45	во всех	5	7
46	как и	4	7
47	того что	3	7
48	тем что	3	7
49	с этим	2	7
50	связи с	3	6
51	не есть	3	6
52	и как	3	6
53	не можем	2	6
54	и т	3	6
55	не было	3	6
56	между тем	5	6
57	в то	10	6
58	и только	5	6
59	с ним	2	5
60	что они	3	5
61	на то	5	5
62	о том	7	5
63	от того	4	5
64	а потому	5	5
65	для того	6	5
66	бы ни	2	5
67	из них	3	5
68	только для	2	5
69	все же	4	5
70	место в	2	4
71	во время	2	4
72	главным образом	3	4
73	никогда не	5	4
74	из этих	3	4
75	а между	5	4
76	и вместе	2	4
77	что он	6	4
78	уже не	2	4
79	одна из	3	4
80	до сих	5	4
81	еще не	3	4
82	и если	7	4
83	в самом	3	4
84	в котором	2	4
85	в некоторых	2	4
86	сих пор	5	4
87	что оно	3	4
88	если не	2	4
89	и что	2	4
90	тем самым	2	4
91	в таком	2	4
92	от него	2	4
93	с тем	6	4
94	в других	2	4
95	но в	2	4
96	при таких	4	3
97	что это	3	3
98	но даже	2	3
99	и от	2	3
100	но мы	3	3
101	то это	3	3
102	о которых	3	3
103	и при	6	3
104	все что	4	3
105	но это	2	3
106	говоря о	2	3
107	в ней	2	3
108	и во	3	3
109	помнить что	2	3
110	если в	6	3
111	его в	4	3
112	но она	2	3
113	и тем	2	3
114	со стороны	4	3
115	и тогда	2	3
116	не так	2	3
117	и для	6	3
118	как на	8	3
119	что для	3	3
120	во многих	2	3
121	вряд ли	3	3
122	и то	4	3
123	в этих	2	3
124	и человек	2	3
125	этого не	2	2
126	всех этих	3	2
127	и есть	2	2
128	хотя бы	5	2
129	стремление к	7	2
130	что все	3	2
131	с нею	3	2
132	состоит в	2	2
133	вопрос о	5	2
134	зависит от	2	2
135	что может	3	2
136	все эти	2	2
137	так же	2	2
138	у него	2	2
139	же время	10	2
140	что с	2	2
141	и тот	2	2
142	сама по	2	2
143	но если	3	2
144	в его	4	2
145	и потому	3	2
146	себя и	5	2
147	для нее	2	2
148	указывает на	2	2
149	все это	6	2
150	а с	2	2
151	точке зрения	3	2
152	на самом	6	2
153	самом деле	7	2
154	того чтобы	8	2
155	что такое	2	2
156	ко всем	3	2
157	и по	3	2
158	должно быть	3	2
159	друг друга	3	2
160	отношения к	2	2
161	или в	3	2
162	по отношению	2	2
163	их в	2	2
164	тому что	2	2
165	что только	2	2
166	или от	2	2
167	даже и	2	2
168	в другом	3	2
169	во всем	4	2
170	о котором	3	2
171	мы должны	7	2
172	факт что	2	2
173	отношении к	2	2
174	касается до	2	2
