N	2gram	Bakhtin_fo_2	VrazhdaK
1	не только	11	9
2	в этом	22	8
3	и в	46	8
4	но и	9	7
5	что в	5	7
6	то что	7	7
7	и все	6	7
8	в котором	4	6
9	в нем	5	6
10	все же	6	6
11	и даже	3	6
12	в романе	13	6
13	как и	8	6
14	но в	10	6
15	и с	6	6
16	то же	8	5
17	не было	3	5
18	и не	9	5
19	у него	9	5
20	в то	5	5
21	же время	4	5
22	уже в	4	4
23	как бы	10	4
24	все это	6	4
25	целый ряд	3	4
26	это не	2	4
27	что он	3	4
28	так же	2	4
29	с ним	4	4
30	может быть	7	4
31	при этом	6	4
32	в истории	4	4
33	о том	4	4
34	и детей	2	4
35	в виду	3	4
36	в этот	3	3
37	связи с	8	3
38	в своем	5	3
39	и во	6	3
40	в связи	8	3
41	в конце	2	3
42	к этому	3	3
43	человека в	6	3
44	и у	5	3
45	он был	2	3
46	в том	10	3
47	и его	12	3
48	том что	4	3
49	и как	3	3
50	тем что	3	3
51	в его	8	3
52	далеко не	2	3
53	его в	6	3
54	наряду с	2	3
55	но он	2	3
56	в париже	2	3
57	и о	2	3
58	он не	5	3
59	и т.п	2	2
60	место в	4	2
61	и это	2	2
62	в роман	2	2
63	после этого	2	2
64	из них	8	2
65	никогда не	6	2
66	вместе с	9	2
67	отнюдь не	4	2
68	в них	7	2
69	не может	2	2
70	а в	3	2
71	отношения к	4	2
72	таким образом	3	2
73	рядом с	2	2
74	но это	2	2
75	в той	2	2
76	уже не	3	2
77	к себе	4	2
78	на первый	3	2
79	не мог	2	2
80	и он	4	2
81	с точки	8	2
82	же в	4	2
83	на основе	3	2
84	тем более	3	2
85	в этой	2	2
86	их в	4	2
87	точки зрения	10	2
88	в себе	4	2
89	отношение к	3	2
90	для него	3	2
91	еще не	6	2
92	во время	10	2
93	в это	3	2
94	о чем	3	2
95	в мире	4	2
96	к ним	2	2
97	том же	4	2
98	а также	3	2
