N	2gram	Nazirov_Tv_1	SlovoVZh
1	не может	4	16
2	может быть	5	14
3	и его	6	13
4	как бы	17	13
5	таким образом	5	12
6	и в	21	12
7	и не	7	10
8	так как	3	9
9	прежде всего	4	8
10	сказать что	2	7
11	в нем	3	6
12	при этом	7	6
13	в том	7	6
14	только в	5	6
15	в ней	2	6
16	в жизни	2	5
17	то что	8	5
18	никогда не	3	5
19	а не	5	5
20	можно сказать	2	5
21	то же	13	5
22	хотя бы	5	5
23	как и	12	5
24	том что	11	5
25	отнюдь не	5	5
26	как в	8	5
27	героя и	2	5
28	но в	7	5
29	в виду	2	5
30	все же	5	4
31	жизни и	3	4
32	так и	2	4
33	с другой	3	4
34	на самом	3	4
35	уже не	3	4
36	что не	2	4
37	в литературе	2	4
38	не в	2	4
39	в этом	6	4
40	и на	7	4
41	дело в	3	4
42	в самом	3	4
43	не только	7	4
44	в котором	6	3
45	не менее	6	3
46	когда он	2	3
47	в своей	4	3
48	все это	10	3
49	как к	2	3
50	ее и	2	3
51	и по	3	3
52	это как	3	3
53	но и	3	3
54	того что	3	3
55	и наконец	2	3
56	тем не	2	3
57	так же	3	3
58	самом деле	2	3
59	и с	3	3
60	о том	6	3
61	в себе	2	3
62	для него	6	3
63	только на	2	3
64	в творчестве	6	3
65	с ним	3	3
66	место в	3	2
67	уже в	3	2
68	зависит от	2	2
69	с его	11	2
70	что и	2	2
71	что в	12	2
72	данном случае	2	2
73	вместе с	2	2
74	в этих	2	2
75	в своем	4	2
76	это не	4	2
77	влияние на	2	2
78	и все	6	2
79	и другие	3	2
80	по природе	6	2
81	к этому	2	2
82	в себя	2	2
83	не так	3	2
84	его как	2	2
85	сливается с	3	2
86	и притом	2	2
87	но это	5	2
88	такой же	2	2
89	в данном	2	2
90	в момент	4	2
91	но не	3	2
92	могут быть	2	2
93	до конца	2	2
94	в то	15	2
95	настоящее время	2	2
96	ни на	3	2
97	героев и	3	2
98	и та	2	2
99	несравненно более	2	2
100	в чем	2	2
101	он не	8	2
102	в основном	4	2
103	в его	13	2
