N	2gram	Potebnia_M_2	Analitik
1	тогда как	10	19
2	в этом	8	18
3	и в	24	16
4	не только	15	16
5	так и	5	15
6	как и	7	14
7	в том	18	12
8	но и	9	12
9	и не	19	12
10	том что	8	12
11	могут быть	8	10
12	как бы	9	10
13	при этом	13	10
14	а не	18	10
15	то есть	30	9
16	состоит в	2	8
17	в целом	3	8
18	в себе	10	7
19	то что	20	7
20	о том	5	7
21	с другой	6	6
22	в самом	4	6
23	и на	8	6
24	может быть	23	6
25	как это	2	6
26	но в	4	6
27	с одной	4	5
28	не менее	5	4
29	столь же	5	4
30	у него	2	4
31	уже не	4	4
32	не в	13	4
33	за пределы	2	4
34	но не	12	4
35	того же	14	4
36	тем самым	4	4
37	для него	10	4
38	одной стороны	3	4
39	имеет место	2	4
40	и тем	3	4
41	не с	3	4
42	во всех	7	4
43	как в	10	4
44	все это	2	4
45	по отношению	2	4
46	не может	12	4
47	на этом	2	4
48	и его	2	4
49	то же	12	4
50	не так	3	4
51	хотя и	3	4
52	между двумя	6	4
53	только в	11	4
54	в сознании	23	4
55	в себя	2	4
56	место в	4	3
57	никогда не	4	3
58	в нашем	2	3
59	не столько	2	3
60	по крайней	5	3
61	прежде всего	7	3
62	этого слова	6	3
63	что на	3	3
64	тем не	6	3
65	так что	10	3
66	есть в	2	3
67	по поводу	6	3
68	было бы	13	3
69	в действительности	2	3
70	крайней мере	5	3
71	и если	4	3
72	или в	2	3
73	на две	2	3
74	что и	11	3
75	из них	5	3
76	со стороны	3	3
77	в словах	3	3
78	если бы	11	3
79	а в	8	3
80	тому как	4	3
81	с ними	3	3
82	и то	3	3
83	тем что	7	3
84	подобно тому	4	3
85	бы в	2	3
86	в эту	3	3
87	и все	3	3
88	в общем	2	2
89	того что	7	2
90	них не	3	2
91	в состоянии	6	2
92	в одном	6	2
93	что все	2	2
94	этом смысле	2	2
95	к этому	2	2
96	вовсе не	9	2
97	по себе	15	2
98	на то	5	2
99	за собою	2	2
100	а то	2	2
101	все что	3	2
102	превращается в	2	2
103	же время	2	2
104	что в	16	2
105	так например	3	2
106	что с	2	2
107	еще не	4	2
108	ни с	2	2
109	в котором	4	2
110	себе не	4	2
111	для нее	2	2
112	один из	2	2
113	это было	2	2
114	не есть	6	2
115	и их	5	2
116	вместе с	11	2
117	на него	3	2
118	что она	3	2
119	вслед за	3	2
120	во времени	2	2
121	другой стороны	2	2
122	внимание на	2	2
123	вообще и	2	2
124	языка и	3	2
125	в нас	3	2
126	отношения к	2	2
127	таким образом	11	2
128	той же	3	2
129	и наоборот	5	2
130	те же	3	2
131	не имеет	6	2
132	и для	3	2
133	так же	2	2
134	в таком	4	2
135	между тем	6	2
136	и во	3	2
137	одно из	3	2
138	в то	6	2
139	в его	2	2
140	его в	3	2
141	в этих	3	2
142	таком случае	2	2
143	сказать что	2	2
144	с ним	5	2
145	стало быть	4	2
