N	2gram	Nazirov_Vr_1	Komedia
1	и в	8	22
2	и не	5	21
3	т е	3	16
4	том что	3	13
5	в том	3	12
6	таким образом	2	12
7	вместе с	2	9
8	в своем	3	8
9	что он	4	8
10	в его	3	8
11	в глазах	2	8
12	в этом	8	8
13	о том	4	8
14	его в	3	8
15	о чем	2	7
16	об этом	5	7
17	при этом	4	7
18	в свою	2	7
19	то же	5	7
20	а в	2	7
21	в конце	3	7
22	во время	2	6
23	к этому	3	6
24	еще не	2	6
25	может быть	4	6
26	как раз	2	6
27	и что	8	6
28	и его	3	6
29	в то	5	6
30	не менее	2	5
31	связи с	3	5
32	что в	7	5
33	же время	5	5
34	не только	9	5
35	речь идет	3	5
36	в своей	2	5
37	отношение к	2	5
38	из них	2	5
39	все это	4	5
40	он не	3	5
41	тем что	3	5
42	к себе	2	5
43	с ним	4	5
44	но в	6	5
45	у него	5	4
46	отнюдь не	2	4
47	он был	3	4
48	все же	6	4
49	несмотря на	4	4
50	в ней	4	4
51	тем более	2	4
52	то что	7	4
53	но и	7	4
54	что к	2	4
55	так же	4	4
56	точки зрения	2	4
57	в себе	2	4
58	в связи	3	4
59	и с	6	4
60	с его	3	3
61	никогда не	2	3
62	в них	2	3
63	в нем	6	3
64	далеко не	3	3
65	на то	3	3
66	как и	6	3
67	в начале	6	3
68	в этой	2	3
69	к ним	2	3
70	как бы	4	3
71	не может	2	3
72	с точки	2	3
73	столь же	2	3
74	и даже	6	3
75	их в	2	3
76	на это	2	3
77	уже в	4	2
78	это не	4	2
79	и все	7	2
80	это в	2	2
81	этот человек	2	2
82	о которой	2	2
83	мы знаем	2	2
84	х годов	4	2
85	не мог	2	2
86	и о	3	2
87	одним из	3	2
88	а также	2	2
89	и он	2	2
90	в котором	6	2
91	раз в	3	2
92	после этого	2	2
93	наряду с	3	2
94	целый ряд	4	2
95	по мнению	2	2
96	отношения к	2	2
97	не было	5	2
98	человека в	3	2
99	в мире	2	2
100	в своих	4	2
101	между тем	5	2
102	и во	3	2
103	и ее	2	2
104	его на	2	2
105	и это	2	2
106	в виду	4	2
