N	3gram	Tiupa_Anal_2	DiskursI
1	в отличие от	2	12
2	в данном случае	5	6
3	в том что	6	6
4	то же время	2	5
5	как и в	3	5
6	в этом отношении	3	4
7	в то же	2	4
8	с одной стороны	4	4
9	по отношению к	4	4
10	той или иной	3	3
11	о том что	6	3
12	в этом случае	4	2
13	присутствия в мире	2	2
14	состоит в том	4	2
15	в соответствии с	2	2
16	с точки зрения	2	2
17	по природе своей	2	2
18	в обоих случаях	2	2
19	подобно тому как	3	2
20	и то что	2	2
21	в сочетании с	7	2
22	содержит в себе	3	2
23	текста а не	2	2
