N	2gram	Vygotskiy__7	Psycholo
1	то что	24	44
2	и в	26	33
3	в этом	29	28
4	как бы	6	25
5	и что	6	25
6	потому что	16	24
7	для того	18	23
8	может быть	7	22
9	том что	17	22
10	того чтобы	19	22
11	что в	12	21
12	в том	18	21
13	о том	4	20
14	что он	8	20
15	только что	5	15
16	как это	5	14
17	что это	6	13
18	таким образом	23	13
19	и не	18	13
20	так же	14	13
21	сказать что	8	13
22	все это	3	13
23	к тому	7	12
24	в самом	9	12
25	так как	14	12
26	было бы	6	12
27	если мы	5	12
28	самом деле	6	12
29	что все	2	11
30	он не	3	11
31	на то	4	10
32	говорит что	2	10
33	что она	8	10
34	не может	11	10
35	в его	4	10
36	как она	5	10
37	если бы	5	10
38	в этой	3	9
39	по себе	3	9
40	как раз	3	9
41	то же	8	9
42	в конце	4	8
43	для этого	3	8
44	вместе с	12	8
45	для нас	2	7
46	до конца	5	7
47	так что	4	7
48	в нем	2	7
49	и только	4	7
50	раз в	2	7
51	же точно	3	7
52	не только	24	7
53	показать что	4	7
54	перед нами	2	6
55	тому что	9	6
56	это не	3	6
57	в самой	3	6
58	что они	10	6
59	в ней	3	6
60	все эти	6	6
61	но он	2	6
62	точки зрения	28	6
63	что мы	9	6
64	же самое	5	6
65	во время	2	6
66	как на	6	6
67	мы видим	3	6
68	мы должны	6	6
69	в сущности	9	6
70	никак не	5	6
71	на самом	3	6
72	а не	6	6
73	в себе	9	6
74	что эта	6	6
75	самого начала	7	5
76	казалось бы	2	5
77	никогда не	4	5
78	в какой	6	5
79	с самого	7	5
80	в целом	5	5
81	целый ряд	4	5
82	мы не	7	5
83	что для	2	5
84	вовсе не	2	5
85	с ним	3	5
86	мы можем	3	5
87	с этим	2	5
88	это и	4	5
89	как и	15	5
90	мы уже	3	5
91	и его	12	5
92	все же	6	5
93	заключается в	6	5
94	из этого	2	5
95	я не	3	4
96	и есть	2	4
97	что у	4	4
98	друг с	2	4
99	мы вправе	3	4
100	совершенно не	2	4
101	а в	2	4
102	и других	2	4
103	того что	14	4
104	с этой	5	4
105	с тем	5	4
106	к этому	2	4
107	об этом	3	4
108	у нас	2	4
109	никто не	2	4
110	и о	3	4
111	в своей	3	4
112	ее в	8	4
113	как мы	14	4
114	что не	2	4
115	с точки	21	4
116	той же	8	4
117	можно было	2	4
118	исследования и	3	4
119	с другом	2	4
120	только в	8	4
121	слова и	10	4
122	в которой	11	4
123	же как	8	3
124	что если	2	3
125	с одной	5	3
126	что оно	4	3
127	нам о	2	3
128	точно так	2	3
129	ни в	2	3
130	что его	2	3
131	которой мы	2	3
132	должно быть	2	3
133	не можем	4	3
134	одной стороны	5	3
135	но если	2	3
136	обратимся к	3	3
137	с ее	2	3
138	но и	11	3
139	и до	2	3
140	в своих	2	3
141	в которых	2	3
142	и здесь	2	3
143	в то	3	3
144	его в	2	3
145	в основе	3	3
146	смысле этого	3	3
147	идет о	2	3
148	но не	3	3
149	до сих	3	3
150	пути и	3	3
151	она не	5	3
152	мы в	3	3
153	говорит толстой	2	3
154	что и	3	3
155	сих пор	3	3
156	так и	3	3
157	как в	4	3
158	во всей	2	3
159	слова как	5	3
160	тем самым	8	3
161	из которых	2	3
162	и он	2	3
163	к этой	2	3
164	и для	5	3
165	что этот	5	3
166	во всяком	2	3
167	тем что	9	3
168	этого слова	3	3
169	в той	4	3
170	уже в	2	2
171	бы сказать	2	2
172	ему нужно	2	2
173	его и	2	2
174	самое что	2	2
175	столь же	2	2
176	с другой	4	2
177	в одной	3	2
178	и от	4	2
179	из этих	3	2
180	прежде всего	7	2
181	вопрос о	6	2
182	в такой	4	2
183	совершенно в	2	2
184	мы могли	6	2
185	мы знаем	2	2
186	такой же	3	2
187	совершается в	3	2
188	что ему	3	2
189	и другое	3	2
190	в действительности	2	2
191	и той	2	2
192	что ее	2	2
193	и является	3	2
194	эти три	2	2
195	в виду	5	2
196	все те	2	2
197	в котором	4	2
198	не является	3	2
199	один из	2	2
200	но мы	3	2
201	только одно	2	2
202	то как	2	2
203	и другом	2	2
204	в их	2	2
205	именно в	6	2
206	сущности говоря	2	2
207	образом в	2	2
208	и наконец	4	2
209	не имеет	2	2
210	есть только	2	2
211	время как	2	2
212	и с	5	2
213	и первый	2	2
214	одно из	5	2
215	во всем	3	2
216	могли бы	5	2
217	также и	2	2
218	не в	4	2
219	и потому	3	2
220	но в	4	2
221	только не	11	2
222	и к	7	2
223	о которых	2	2
224	в ее	6	2
225	представляет собой	19	2
226	что при	2	2
227	можно сказать	5	2
228	во всех	6	2
229	не по	4	2
230	должно было	2	2
231	даже в	2	2
232	что эти	3	2
233	как говорит	5	2
234	оказывается что	2	2
235	внимание на	2	2
236	нами в	4	2
237	одной и	2	2
238	перейти к	4	2
239	то время	2	2
240	и она	2	2
241	какой мере	2	2
242	почти всегда	2	2
243	чтобы сделать	2	2
244	и то	7	2
245	между двумя	3	2
246	и ее	2	2
247	связи с	4	2
248	на ее	2	2
249	едва ли	4	2
250	ничего не	2	2
