N	2gram	Ircho_Kome_3	Tvorches
1	и в	22	21
2	как бы	3	17
3	в то	6	15
4	в его	8	13
5	то же	7	13
6	что в	5	12
7	как и	3	12
8	же время	5	12
9	с его	3	11
10	том что	13	11
11	все это	5	10
12	как в	2	8
13	он не	5	8
14	то что	4	8
15	у него	4	7
16	в свою	7	7
17	в том	12	7
18	при этом	7	7
19	не только	5	7
20	и не	21	7
21	и на	2	7
22	но в	5	7
23	что он	8	6
24	и все	2	6
25	не менее	5	6
26	в котором	2	6
27	человека в	2	6
28	а в	7	6
29	и его	6	6
30	в этом	8	6
31	о том	8	6
32	отнюдь не	4	5
33	вовсе не	4	5
34	а не	4	5
35	может быть	6	5
36	в этой	3	5
37	все же	4	5
38	таким образом	12	5
39	хотя бы	4	5
40	в своих	2	5
41	потому что	10	5
42	в своем	8	4
43	человека и	2	4
44	прежде всего	5	4
45	в мире	2	4
46	в целом	3	4
47	из всех	2	4
48	конечном счете	2	4
49	одной из	3	4
50	одним из	2	4
51	в конечном	2	4
52	один из	3	4
53	в своей	5	4
54	не может	3	4
55	это не	2	4
56	уже в	2	3
57	самого начала	4	3
58	никогда не	3	3
59	с другой	4	3
60	представление о	2	3
61	это в	2	3
62	с ним	5	3
63	с самого	4	3
64	на его	2	3
65	в самом	9	3
66	но если	3	3
67	в нем	3	3
68	к человеку	2	3
69	и т	4	3
70	не по	7	3
71	но и	4	3
72	дело не	2	3
73	в их	2	3
74	который в	3	3
75	по мнению	2	3
76	он говорит	2	3
77	и даже	3	3
78	не так	3	3
79	так же	4	3
80	в которой	3	3
81	и с	4	3
82	хотя и	5	3
83	далеко не	3	3
84	представляет собой	3	3
85	так как	11	3
86	в основе	2	2
87	а как	2	2
88	в частности	3	2
89	однако в	4	2
90	в качестве	2	2
91	от людей	2	2
92	одного из	3	2
93	к этому	6	2
94	что и	8	2
95	а по	5	2
96	что его	5	2
97	а затем	2	2
98	об этом	7	2
99	так что	6	2
100	не в	4	2
101	в глаза	3	2
102	того же	6	2
103	до конца	4	2
104	тот же	2	2
105	из них	5	2
106	к тому	6	2
107	в ней	4	2
108	к ней	8	2
109	ли в	2	2
110	из себя	3	2
111	был бы	2	2
112	здесь нет	4	2
113	тем не	3	2
114	не будет	2	2
115	когда он	4	2
116	вместе с	9	2
117	так и	4	2
118	этой связи	2	2
119	приводит к	3	2
120	до этого	2	2
121	что для	2	2
122	в двух	3	2
123	что она	4	2
124	не мог	2	2
125	самом деле	6	2
126	что не	3	2
127	за то	2	2
128	и он	2	2
129	только что	7	2
130	отличие от	2	2
131	отказаться от	2	2
132	свою вину	2	2
133	людей и	2	2
134	больше чем	2	2
135	в себе	4	2
136	т п	4	2
137	не знает	3	2
138	что ты	2	2
139	нет ни	2	2
140	в виду	2	2
