N	3gram	Vinokur_Vv_1	formyVre
1	то же время	5	9
2	и т п	5	8
3	в то же	5	6
4	и того же	2	5
5	одного и того	2	5
6	в связи с	2	5
7	для того чтобы	21	5
8	в этом отношении	3	3
9	до сих пор	5	3
10	по отношению к	4	3
11	не может быть	8	3
12	по сравнению с	3	2
13	а также и	2	2
14	с точки зрения	2	2
15	с одной стороны	4	2
16	одной стороны и	3	2
17	и в особенности	4	2
18	не только в	4	2
19	дело в том	2	2
20	в отличие от	3	2
21	также и в	2	2
22	в широком смысле	7	2
23	может быть и	2	2
24	в соответствии с	2	2
25	вместе с тем	3	2
26	в том что	12	2
27	но все же	3	2
28	в строгом смысле	3	2
