N	2gram	Savitsky_P_1	Vladivir
1	и в	14	40
2	то что	4	28
3	и не	12	25
4	не только	17	25
5	но и	6	18
6	в том	9	18
7	том что	4	18
8	что в	4	17
9	в этом	10	16
10	в его	2	14
11	не может	4	14
12	точки зрения	3	13
13	в виде	2	13
14	только в	7	13
15	потому что	3	11
16	прежде всего	3	10
17	и потому	4	10
18	как раз	2	10
19	не менее	2	9
20	и с	2	9
21	в себе	3	9
22	в своем	4	8
23	может быть	5	8
24	а также	4	8
25	а не	2	8
26	и как	3	7
27	и если	4	7
28	хотя и	3	7
29	а в	4	7
30	с тем	3	7
31	того что	2	7
32	в то	7	7
33	да и	2	6
34	по себе	4	6
35	xix века	6	6
36	в смысле	6	6
37	хотя бы	8	6
38	с точки	3	6
39	и это	2	6
40	с другой	5	5
41	для нас	2	5
42	должно быть	2	5
43	отношения к	2	5
44	в отношении	10	5
45	не было	2	5
46	в ней	6	5
47	отнюдь не	2	5
48	между прочим	2	5
49	в котором	4	4
50	мы должны	4	4
51	но не	3	4
52	было бы	6	4
53	и о	5	4
54	никак не	2	4
55	то же	9	4
56	но в	9	4
57	в качестве	9	3
58	это не	3	3
59	и весьма	2	3
60	одной стороны	3	3
61	тех кто	4	3
62	как бы	4	3
63	и тем	2	3
64	в нем	3	3
65	с одной	3	3
66	именно в	2	3
67	как на	2	3
68	не столько	2	3
69	сводится к	3	3
70	в россии	3	3
71	если бы	4	3
72	но о	2	3
73	же в	4	3
74	церкви и	2	3
75	не в	5	3
76	которое в	2	3
77	же время	7	2
78	не о	2	2
79	в начале	2	2
80	что мы	3	2
81	с этим	2	2
82	в жизни	2	2
83	стороны и	2	2
84	есть не	2	2
85	и к	4	2
86	на путях	4	2
87	в силу	2	2
88	не к	2	2
89	не нужно	2	2
90	из них	2	2
91	наряду с	3	2
92	со стороны	2	2
93	в мире	2	2
94	в с	4	2
95	тем самым	3	2
96	для того	3	2
97	е н	5	2
98	в сравнении	3	2
99	мы не	3	2
100	сравнении с	3	2
101	является в	2	2
102	для тех	2	2
103	в европе	2	2
