N	2gram	Bakhtin_fo_1	Narrotol
1	не только	9	31
2	но и	8	27
3	и не	14	23
4	при этом	3	19
5	может быть	11	15
6	в частности	6	14
7	в качестве	3	14
8	как и	8	13
9	а не	3	13
10	а в	3	13
11	только в	4	12
12	в этом	25	12
13	и в	50	11
14	в данном	2	11
15	и его	16	10
16	времени и	10	9
17	то что	6	9
18	во времени	3	9
19	то есть	33	9
20	то же	11	8
21	в том	9	8
22	и т.п	4	8
23	не может	6	8
24	уже не	2	8
25	если бы	5	7
26	у него	6	7
27	том что	4	7
28	но в	10	7
29	к тому	3	6
30	об этом	2	6
31	а также	2	6
32	не в	5	6
33	в самом	8	6
34	как бы	2	6
35	один из	3	6
36	жизни и	8	6
37	как раз	13	6
38	тому же	2	6
39	во втором	2	6
40	или в	3	6
41	в себе	3	6
42	в его	13	6
43	в соответствии	2	5
44	на другой	2	5
45	той или	2	5
46	в своей	2	5
47	так и	12	5
48	и на	8	5
49	потому что	4	5
50	между двумя	6	5
51	точки зрения	5	5
52	с его	9	4
53	никогда не	2	4
54	к себе	4	4
55	в литературе	16	4
56	или иной	2	4
57	соответствии с	2	4
58	все же	6	4
59	для него	2	4
60	но не	5	4
61	же время	9	4
62	прежде всего	15	4
63	еще не	5	4
64	имеет место	3	4
65	в ней	4	4
66	в нем	24	4
67	по себе	2	4
68	как в	6	4
69	того что	2	4
70	того чтобы	5	4
71	или не	2	4
72	хотя и	3	4
73	на себя	2	4
74	в то	9	4
75	одна из	2	4
76	в одном	3	4
77	мира в	3	4
78	но они	3	3
79	что в	5	3
80	в нашем	2	3
81	в своем	4	3
82	это не	6	3
83	в пространстве	5	3
84	в жизни	6	3
85	другой день	2	3
86	и как	10	3
87	в начале	3	3
88	в целом	2	3
89	для того	5	3
90	но для	2	3
91	он не	5	3
92	не является	2	3
93	его жизни	8	3
94	отношению к	5	3
95	эпизоды в	2	3
96	по отношению	3	3
97	в центре	2	3
98	не было	7	3
99	этом отношении	3	3
100	именно в	3	3
101	лишь в	6	3
102	мы не	3	3
103	и то	4	3
104	также и	2	3
105	их в	3	3
106	и с	4	3
107	и ее	3	3
108	и все	6	3
109	встречи с	2	2
110	для них	3	2
111	о своей	2	2
112	отнюдь не	5	2
113	в этих	3	2
114	его и	2	2
115	между собой	4	2
116	не могло	5	2
117	в конце	9	2
118	в сущности	3	2
119	в свою	2	2
120	как мы	14	2
121	же в	3	2
122	как если	2	2
123	да и	3	2
124	было и	4	2
125	в романе	32	2
126	с ее	6	2
127	и того	6	2
128	не столь	2	2
129	между ними	3	2
130	одно и	3	2
131	и стал	2	2
132	до конца	4	2
133	до сих	3	2
134	в пределах	5	2
135	к ним	2	2
136	и является	2	2
137	к жизни	2	2
138	не имеет	4	2
139	оно не	2	2
140	хотя бы	2	2
141	раз в	4	2
142	вместе с	3	2
143	быть и	2	2
144	героя и	7	2
145	сих пор	3	2
146	в форме	3	2
147	только на	3	2
148	человеческой жизни	6	2
149	жизни в	8	2
150	в отличие	2	2
151	в связи	5	2
152	входит в	3	2
153	в особенности	9	2
154	человека в	17	2
155	в той	4	2
156	что не	3	2
157	и даже	2	2
158	времени в	7	2
159	с другой	2	2
160	и для	4	2
161	друг друга	3	2
162	отличие от	2	2
163	роль в	9	2
164	в таком	3	2
165	ничего не	9	2
166	нас в	3	2
167	друг на	2	2
168	в результате	6	2
169	сказать что	3	2
170	во всяком	3	2
171	не о	2	2
172	в присутствии	4	2
173	и еще	2	2
174	на друга	2	2
175	связи с	6	2
176	что мы	2	2
177	жизни но	5	2
178	дело в	2	2
179	здесь не	4	2
180	так сказать	7	2
181	в чем	2	2
182	с ним	2	2
183	как она	2	2
