N	2gram	Propp_Isto_2	SlovoVZh
1	не может	5	16
2	может быть	17	14
3	и его	3	13
4	как бы	6	13
5	таким образом	7	12
6	и в	15	12
7	отношению к	3	11
8	по отношению	3	11
9	и не	11	10
10	так как	14	9
11	прежде всего	5	8
12	для нас	4	7
13	сказать что	2	7
14	в нем	7	6
15	при этом	4	6
16	в том	6	6
17	только в	6	6
18	в ней	4	6
19	и др	4	5
20	в жизни	2	5
21	то что	12	5
22	никогда не	15	5
23	а не	5	5
24	то же	10	5
25	хотя бы	2	5
26	как и	2	5
27	том что	7	5
28	как в	5	5
29	что мы	3	5
30	но в	6	5
31	в виду	2	5
32	все же	9	4
33	к материалу	2	4
34	так и	5	4
35	с другой	2	4
36	на самом	2	4
37	не в	7	4
38	в этом	11	4
39	и на	4	4
40	его в	10	4
41	к нему	5	4
42	не только	18	4
43	в котором	5	3
44	и более	2	3
45	когда он	3	3
46	в некоторых	2	3
47	сих пор	7	3
48	все это	3	3
49	и по	2	3
50	все эти	4	3
51	но и	14	3
52	и пр	7	3
53	того что	3	3
54	и наконец	5	3
55	и герой	2	3
56	ни в	2	3
57	да и	2	3
58	он должен	2	3
59	так же	13	3
60	самом деле	2	3
61	мы не	3	3
62	и с	4	3
63	о том	3	3
64	и ее	2	3
65	в себе	4	3
66	до сих	6	3
67	еще не	9	3
68	и для	2	3
69	здесь не	2	3
70	уже в	2	2
71	зависит от	2	2
72	что и	6	2
73	но все	5	2
74	что в	12	2
75	вместе с	7	2
76	себя и	2	2
77	и так	2	2
78	в этих	11	2
79	на него	5	2
80	нет ничего	2	2
81	другой стороны	2	2
82	это не	2	2
83	мы имеем	15	2
84	и другие	4	2
85	в особенности	2	2
86	тому же	2	2
87	с одной	4	2
88	связь с	4	2
89	в себя	3	2
90	и что	6	2
91	и вполне	2	2
92	и здесь	9	2
93	с другими	2	2
94	и дает	2	2
95	но это	4	2
96	такой же	2	2
97	и то	2	2
98	мы можем	8	2
99	но не	2	2
100	могут быть	2	2
101	имеем в	5	2
102	кроме того	2	2
103	она не	5	2
104	одной стороны	3	2
105	можно найти	5	2
106	мы в	2	2
107	на один	2	2
108	со всех	4	2
109	как это	3	2
110	ничего не	7	2
111	он не	8	2
112	в основном	2	2
113	в его	6	2
114	из него	2	2
