N	2gram	Propp_Morf_1	VrazhdaK
1	не только	4	9
2	в этом	14	8
3	и что	2	8
4	и в	13	8
5	но и	4	7
6	что в	8	7
7	то что	8	7
8	все же	7	6
9	как и	3	6
10	в начале	3	6
11	но в	2	6
12	то же	7	5
13	и не	12	5
14	об этом	4	5
15	между тем	5	5
16	в то	3	5
17	в россии	2	5
18	для нас	2	4
19	как бы	3	4
20	целый ряд	3	4
21	это не	6	4
22	что он	4	4
23	так же	3	4
24	может быть	52	4
25	несмотря на	4	4
26	о том	2	4
27	с его	2	3
28	связи с	10	3
29	в связи	9	3
30	т е	21	3
31	к этому	3	3
32	на то	2	3
33	в том	6	3
34	том что	4	3
35	и как	5	3
36	тем что	4	3
37	далеко не	5	3
38	его в	2	3
39	наряду с	5	3
40	он не	3	3
41	а с	2	2
42	из них	3	2
43	не менее	5	2
44	его и	2	2
45	не может	14	2
46	а в	7	2
47	тогда как	2	2
48	таким образом	21	2
49	но это	6	2
50	в в	2	2
51	уже не	2	2
52	на первый	3	2
53	с точки	2	2
54	же в	2	2
55	как же	2	2
56	этот момент	3	2
57	в этой	2	2
58	но как	2	2
59	точки зрения	2	2
60	и ее	3	2
61	еще не	3	2
62	во время	6	2
63	при помощи	9	2
64	одна из	4	2
65	а также	4	2
