N	2gram	Berdyaev_O_1	FransuaR
1	и в	19	49
2	прежде всего	9	19
3	в его	7	18
4	не только	11	17
5	и его	4	17
6	и на	2	17
7	и не	13	15
8	в этом	12	15
9	но и	13	13
10	как и	6	11
11	как бы	3	11
12	в этой	5	10
13	все это	6	9
14	для него	5	9
15	в нем	10	9
16	отношение к	5	8
17	все же	2	7
18	не может	4	7
19	все эти	4	7
20	то что	5	6
21	в истории	2	6
22	так и	2	6
23	сказать что	2	6
24	и с	2	6
25	но он	7	6
26	так как	2	6
27	в творчестве	5	6
28	с его	4	5
29	никогда не	9	5
30	в своем	2	5
31	уже в	2	5
32	может быть	11	5
33	и потому	2	5
34	в своей	2	5
35	и к	2	4
36	в себе	3	4
37	том что	2	4
38	и о	2	4
39	в своих	3	4
40	в этих	3	4
41	не было	9	4
42	а в	5	4
43	лишь в	7	4
44	тем что	2	4
45	с ним	3	4
46	но в	2	4
47	жизни в	2	3
48	человека и	10	3
49	что он	3	3
50	в ее	2	3
51	в том	5	3
52	было бы	3	3
53	в самом	5	3
54	на земле	4	3
55	что для	2	3
56	и все	10	3
57	и вот	3	3
58	был еще	2	3
59	к нему	3	3
60	о том	3	3
61	учение о	2	2
62	что в	4	2
63	могут быть	3	2
64	никто не	3	2
65	о человеке	29	2
66	даже и	2	2
67	он был	8	2
68	в самой	9	2
69	что они	2	2
70	все что	3	2
71	ничего не	2	2
72	до конца	7	2
73	еще не	3	2
74	у него	22	2
75	хотя и	2	2
76	к ней	2	2
77	ее в	2	2
78	должен был	2	2
79	того чтобы	4	2
80	как к	2	2
81	в другом	2	2
