N	2gram	Losev_Vesc_1	Istorich
1	т е	55	29
2	и т	19	19
3	не только	36	18
4	т д	19	18
5	может быть	16	17
6	никогда не	2	15
7	и в	21	15
8	мы имеем	7	15
9	но и	18	14
10	так как	7	14
11	что в	9	12
12	а в	4	12
13	то что	27	12
14	об этом	3	11
15	и не	29	11
16	в этом	4	11
17	что они	6	10
18	его в	2	10
19	то же	6	10
20	с тем	5	9
21	еще не	8	9
22	все же	4	9
23	и здесь	4	9
24	в другом	2	9
25	потому что	16	9
26	один из	3	8
27	мы видим	2	8
28	мы можем	4	8
29	том что	8	7
30	и пр	6	7
31	в нем	2	7
32	таким образом	8	7
33	не в	5	7
34	ничего не	3	7
35	так что	5	6
36	мы уже	3	6
37	что это	13	6
38	в его	2	6
39	как бы	12	6
40	то это	3	6
41	что и	3	6
42	и что	15	6
43	в том	8	6
44	только в	14	6
45	но в	5	6
46	и есть	26	5
47	с этим	3	5
48	прежде всего	9	5
49	в одном	2	5
50	к тому	3	5
51	она не	4	5
52	было бы	14	5
53	в котором	3	5
54	так и	3	5
55	что она	15	5
56	не может	17	5
57	а не	19	5
58	можно было	2	5
59	с одной	3	4
60	а потом	2	4
61	его и	2	4
62	у него	2	4
63	для нас	2	4
64	но это	10	4
65	в этой	3	4
66	но он	2	4
67	в ней	12	4
68	руки и	2	4
69	другими словами	5	4
70	дело не	2	4
71	и с	8	4
72	тем что	2	4
73	в себе	14	4
74	мы должны	2	4
75	все эти	3	4
76	как она	4	4
77	и его	2	3
78	на то	4	3
79	как это	2	3
80	одной стороны	3	3
81	когда она	4	3
82	мог бы	5	3
83	между прочим	3	3
84	что ее	2	3
85	но если	8	3
86	о том	6	3
87	все это	5	3
88	в себя	13	3
89	того что	8	3
90	мы не	6	3
91	тому как	4	3
92	подобно тому	4	3
93	что мы	14	3
94	и это	14	3
95	если это	2	3
96	я не	4	2
97	себя и	4	2
98	перед нами	2	2
99	с другой	6	2
100	это не	5	2
101	но с	2	2
102	в жизни	3	2
103	к себе	4	2
104	все еще	3	2
105	нисколько не	4	2
106	и эти	2	2
107	что у	5	2
108	да и	3	2
109	а затем	2	2
110	так оно	2	2
111	по существу	2	2
112	как и	8	2
113	есть ли	6	2
114	на столе	2	2
115	в силу	3	2
116	оно и	4	2
117	одна из	5	2
118	но не	5	2
119	есть и	4	2
120	могла бы	3	2
121	не что	7	2
122	кроме того	4	2
123	и может	2	2
124	того чтобы	3	2
125	и если	2	2
126	и для	9	2
127	в сущности	4	2
128	и ноги	2	2
129	и когда	4	2
130	хотя бы	6	2
131	с ее	6	2
132	из них	4	2
133	во всех	2	2
134	и их	7	2
135	в свете	7	2
136	и только	3	2
137	другой стороны	2	2
138	той же	2	2
139	в разных	4	2
140	а с	3	2
141	не просто	19	2
142	это так	3	2
143	когда мы	6	2
144	совершенно ясно	2	2
145	самом деле	4	2
146	то не	4	2
147	тут же	2	2
148	д и	5	2
149	или в	2	2
150	с другими	8	2
151	с ними	3	2
152	и то	10	2
153	сказать что	17	2
154	то мы	2	2
155	в руки	2	2
156	к ней	2	2
157	находится в	3	2
158	и ее	18	2
159	что иное	7	2
160	слова в	2	2
161	при помощи	2	2
162	тот момент	2	2
163	их в	3	2
164	только с	3	2
165	иное как	7	2
166	о смысле	4	2
167	в виду	2	2
