N	2gram	Nazirov_Tv_2	SlovoVZh
1	не может	7	16
2	может быть	8	14
3	и его	9	13
4	как бы	11	13
5	таким образом	10	12
6	и в	20	12
7	отношению к	3	11
8	по отношению	3	11
9	и не	9	10
10	если бы	4	9
11	так как	3	9
12	прежде всего	8	8
13	в нем	3	6
14	все время	2	6
15	в процессе	2	6
16	при этом	8	6
17	в том	8	6
18	только в	2	6
19	и др	3	5
20	то что	3	5
21	никогда не	11	5
22	а не	6	5
23	то же	7	5
24	как и	6	5
25	том что	4	5
26	отнюдь не	4	5
27	как в	4	5
28	героя и	2	5
29	но в	4	5
30	все же	5	4
31	так и	6	4
32	с другой	2	4
33	уже не	3	4
34	что не	3	4
35	в литературе	2	4
36	не в	4	4
37	в этом	8	4
38	и на	5	4
39	его в	3	4
40	в самом	3	4
41	не только	13	4
42	в котором	3	3
43	точка зрения	2	3
44	не менее	2	3
45	когда он	4	3
46	в своей	6	3
47	сих пор	3	3
48	все это	6	3
49	и по	2	3
50	и вообще	2	3
51	все эти	4	3
52	в такой	2	3
53	но и	8	3
54	и наконец	2	3
55	так же	5	3
56	самом деле	2	3
57	мы не	4	3
58	и с	8	3
59	о том	5	3
60	и ее	2	3
61	в себе	3	3
62	для него	3	3
63	до сих	3	3
64	еще не	5	3
65	из этого	2	3
66	в творчестве	5	3
67	с ним	3	3
68	между тем	3	3
69	имеет в	2	3
70	место в	3	2
71	уже в	2	2
72	с этой	3	2
73	зависит от	2	2
74	в душе	4	2
75	что в	7	2
76	вместе с	3	2
77	на него	2	2
78	от этой	2	2
79	точку зрения	2	2
80	нет ничего	3	2
81	другой стороны	2	2
82	это не	7	2
83	бы не	2	2
84	тому же	2	2
85	к этому	3	2
86	связь с	2	2
87	и что	2	2
88	едва ли	2	2
89	не так	2	2
90	но зато	3	2
91	с другими	2	2
92	но это	5	2
93	более того	2	2
94	такой же	2	2
95	но не	5	2
96	могут быть	2	2
97	в то	10	2
98	действия и	2	2
99	опираясь на	2	2
100	несравненно более	2	2
101	в чем	4	2
102	ничего не	4	2
103	он не	3	2
104	в основном	6	2
105	в его	10	2
106	и потому	4	2
