N	2gram	Medvedev_S_1	EvropaiE
1	и в	3	37
2	что в	2	21
3	не только	3	18
4	то же	2	15
5	но и	2	14
6	в этом	5	12
7	в том	5	11
8	в смысле	2	9
9	только в	2	9
10	было бы	2	8
11	том что	2	6
12	может быть	2	6
13	как бы	2	6
14	то что	2	6
15	в частности	2	5
16	не в	3	5
17	для нас	3	4
18	тем более	2	4
19	очевидно что	2	3
20	и мы	2	3
21	и только	3	3
22	в результате	2	3
23	главным образом	2	2
24	как же	3	2
25	должна быть	2	2
26	в его	3	2
27	таким образом	2	2
28	и что	2	2
29	более чем	3	2
30	как будто	2	2
31	далеко не	2	2
