N	2gram	Savitsky_P_1	SlovoVZh
1	не может	4	16
2	точки зрения	3	14
3	может быть	5	14
4	как бы	4	13
5	и в	14	12
6	и не	12	10
7	если бы	4	9
8	прежде всего	3	8
9	для нас	2	7
10	в нем	3	6
11	в том	9	6
12	только в	7	6
13	в ней	6	6
14	в жизни	2	5
15	то что	4	5
16	а не	2	5
17	то же	9	5
18	хотя бы	8	5
19	том что	4	5
20	отнюдь не	2	5
21	что мы	3	5
22	но в	9	5
23	и к	4	4
24	с другой	5	4
25	не в	5	4
26	в этом	10	4
27	не только	17	4
28	в котором	4	3
29	в них	2	3
30	отношении к	5	3
31	не к	2	3
32	не менее	2	3
33	все это	2	3
34	по себе	4	3
35	но и	6	3
36	и пр	5	3
37	того что	2	3
38	точек зрения	2	3
39	да и	2	3
40	сколько бы	2	3
41	мы не	3	3
42	и с	2	3
43	в себе	3	3
44	в пределах	8	3
45	между тем	3	3
46	что в	4	2
47	в своем	4	2
48	в отношении	10	2
49	это не	3	2
50	с одной	3	2
51	слова но	2	2
52	с точки	3	2
53	как на	2	2
54	стороны и	2	2
55	но не	3	2
56	могут быть	3	2
57	в то	7	2
58	одной стороны	3	2
59	в его	2	2
60	и потому	4	2
