N	2gram	Vinokur_Ku_3	Russkaja
1	не может	6	22
2	и не	10	19
3	в том	22	17
4	в этом	16	17
5	и в	23	14
6	то что	4	13
7	таким образом	9	11
8	то же	6	11
9	точки зрения	23	11
10	но и	3	10
11	в то	3	10
12	том что	11	9
13	не только	17	9
14	с точки	16	9
15	может быть	14	9
16	во всяком	2	9
17	прежде всего	9	8
18	того чтобы	11	8
19	как на	8	8
20	отнюдь не	3	7
21	к тому	3	7
22	и если	2	7
23	самом деле	14	7
24	в данном	7	7
25	мы должны	3	7
26	о том	6	7
27	и с	3	7
28	если бы	8	6
29	на самом	3	6
30	что он	6	6
31	и к	3	6
32	и при	2	6
33	с тем	6	6
34	для того	12	6
35	все это	2	6
36	в своем	4	6
37	в россии	2	6
38	хотя бы	9	5
39	вопрос о	11	5
40	или иной	7	5
41	при этом	6	5
42	до сих	8	5
43	было бы	16	5
44	конечно не	2	5
45	в своей	4	5
46	он не	3	5
47	сих пор	8	5
48	и только	3	5
49	по существу	3	5
50	а потому	2	5
51	а в	5	5
52	потому что	12	5
53	только в	6	5
54	между тем	4	5
55	а лишь	3	4
56	но не	3	4
57	не могут	5	4
58	том случае	4	4
59	что в	13	4
60	тогда когда	4	4
61	как и	5	4
62	к вопросу	2	4
63	более или	2	4
64	он будет	2	4
65	как бы	5	4
66	все же	5	4
67	в корне	2	4
68	вместе с	2	4
69	от того	5	4
70	или менее	2	4
71	что же	5	4
72	в их	6	4
73	точку зрения	2	4
74	путь к	2	4
75	не в	5	4
76	можно было	11	4
77	в его	11	4
78	его в	2	4
79	так как	9	4
80	что это	3	3
81	на том	2	3
82	именно в	3	3
83	из этих	5	3
84	что все	2	3
85	главным образом	2	3
86	этом случае	4	3
87	и как	2	3
88	то в	3	3
89	лишь в	8	3
90	что они	2	3
91	должно быть	7	3
92	в качестве	2	3
93	тем чтобы	2	3
94	еще не	9	3
95	в самом	13	3
96	том чтобы	4	3
97	той или	5	3
98	но если	3	3
99	для этого	6	3
100	но мы	2	3
101	то это	3	3
102	что и	6	3
103	не есть	3	3
104	и т	54	3
105	все они	2	3
106	данном случае	4	3
107	при котором	2	3
108	не было	4	3
109	того что	11	3
110	тем что	5	3
111	говорить о	6	3
112	связи с	6	3
113	она может	2	3
114	всю эту	2	2
115	только для	2	2
116	а с	3	2
117	сама по	2	2
118	и более	3	2
119	должна быть	3	2
120	от нас	2	2
121	и есть	5	2
122	в частности	2	2
123	были бы	4	2
124	этот вопрос	3	2
125	это в	2	2
126	состоит в	2	2
127	ясно что	4	2
128	или иного	3	2
129	по себе	6	2
130	ни в	3	2
131	уже не	8	2
132	чтобы понять	2	2
133	но это	5	2
134	естественно что	3	2
135	именно на	2	2
136	отличается от	2	2
137	она не	3	2
138	и тот	2	2
139	совершенно не	5	2
140	и о	4	2
141	но для	3	2
142	в ней	3	2
143	в котором	2	2
144	речь идет	3	2
145	если же	2	2
146	и тем	6	2
147	для нас	4	2
148	в некоторых	2	2
149	время в	3	2
150	а во-вторых	2	2
151	тому что	4	2
152	целый ряд	4	2
153	по отношению	3	2
154	все эти	7	2
155	не просто	2	2
156	и вот	3	2
157	и что	7	2
158	тем самым	4	2
159	а не	11	2
160	что такое	4	2
161	не так	3	2
162	так же	2	2
163	в таком	4	2
164	в результате	3	2
165	в силу	6	2
166	остается в	2	2
167	не о	2	2
168	на себя	2	2
169	того или	3	2
170	в таких	2	2
171	в этих	2	2
172	и должно	5	2
173	отметить что	3	2
174	в области	14	2
175	но в	2	2
