N	2gram	Nazirov_Vr_1	Problema
1	то что	7	38
2	и не	5	37
3	и в	8	35
4	не только	9	24
5	том что	3	19
6	о том	4	18
7	может быть	4	18
8	в этом	8	17
9	но и	7	16
10	не менее	2	13
11	и что	8	13
12	не может	2	13
13	в том	3	12
14	что в	7	11
15	и даже	6	11
16	и с	6	10
17	тем более	2	10
18	еще не	2	10
19	и то	2	10
20	для нас	4	9
21	в этой	2	9
22	уже не	2	8
23	в виду	4	8
24	как раз	2	8
25	все же	6	8
26	при помощи	2	8
27	в конце	3	7
28	в его	3	7
29	но это	2	6
30	о чем	2	6
31	но как	2	6
32	в то	5	6
33	на то	3	6
34	но в	6	6
35	отнюдь не	2	5
36	в связи	3	5
37	так же	4	5
38	и все	7	5
39	как и	6	5
40	связи с	3	5
41	то же	5	5
42	в себе	2	5
43	и это	2	5
44	в своем	3	4
45	как же	2	4
46	и как	3	4
47	как бы	4	4
48	все это	4	4
49	таким образом	2	4
50	а в	2	4
51	их в	2	4
52	тем что	3	4
53	что он	4	4
54	на первый	2	4
55	и о	3	4
56	далеко не	3	4
57	уже в	4	3
58	он сам	2	3
59	в нашей	2	3
60	несмотря на	4	3
61	не было	5	3
62	при этом	4	3
63	в своих	4	3
64	в истории	4	3
65	его в	3	3
66	одна из	2	3
67	время и	2	2
68	в той	2	2
69	в него	2	2
70	он тоже	2	2
71	в ней	4	2
72	точки зрения	2	2
73	это в	2	2
74	в них	2	2
75	с нею	2	2
76	об этом	5	2
77	и а	2	2
78	он не	3	2
79	о нем	6	2
80	а также	2	2
81	речь идет	3	2
82	вместе с	2	2
83	в в	2	2
84	и ее	2	2
85	на это	2	2
