N	2gram	Berdyaev_N_1	UchenyiS
1	и в	16	14
2	а не	17	10
3	не только	5	10
4	и не	11	8
5	прежде всего	4	8
6	то что	4	7
7	в этом	7	7
8	вот почему	2	7
9	не может	16	7
10	может быть	7	6
11	хотя бы	2	5
12	перестает быть	4	5
13	все это	5	5
14	но и	3	4
15	в россии	3	4
16	конечно не	3	4
17	с другой	3	4
18	что такое	3	4
19	но в	2	3
20	как и	7	3
21	в своей	3	3
22	и формы	2	3
23	для этого	2	3
24	другой стороны	2	3
25	это не	4	3
26	в то	2	3
27	том что	2	2
28	но не	2	2
29	в том	8	2
30	по существу	2	2
31	мы не	2	2
32	с его	6	2
33	не есть	3	2
34	не в	6	2
35	и для	4	2
36	но это	6	2
37	должна быть	3	2
38	этом смысле	2	2
39	и с	2	2
40	могут быть	2	2
41	все они	2	2
42	в себе	2	2
43	формы и	2	2
44	что все	2	2
45	что она	2	2
46	это было	3	2
