N	2gram	Berdyaev_V_1	Mirosoze
1	не только	2	29
2	и в	16	28
3	но и	5	25
4	а не	7	25
5	в этом	4	20
6	не было	3	18
7	о свободе	2	18
8	не в	3	16
9	потому что	4	16
10	в ней	4	15
11	в своей	3	15
12	и есть	4	14
13	никогда не	3	14
14	человека и	6	14
15	в нем	4	13
16	и это	2	12
17	для него	2	11
18	и не	20	11
19	что в	3	10
20	свободы и	12	10
21	в мире	5	10
22	во имя	32	10
23	прежде всего	2	10
24	и все	4	10
25	что он	4	10
26	бога и	5	10
27	и потому	7	10
28	с тем	2	9
29	в его	4	9
30	не есть	6	9
31	те которые	2	9
32	но не	2	8
33	в котором	4	8
34	того что	5	7
35	в конце	3	7
36	но в	3	7
37	ивана карамазова	2	7
38	нет ничего	3	7
39	должна быть	3	6
40	в том	3	6
41	все это	5	6
42	лишь в	3	6
43	только в	2	6
44	не могут	2	5
45	это не	2	5
46	и я	4	5
47	великом инквизиторе	5	5
48	во христе	3	5
49	добра и	4	5
50	великого инквизитора	36	5
51	как и	4	5
52	то что	9	5
53	христа в	3	5
54	и зла	2	5
55	что есть	5	5
56	нет и	2	5
57	свободной любви	6	4
58	в этих	3	4
59	есть уже	2	4
60	не к	2	4
61	и свободы	2	4
62	а в	2	4
63	духа и	2	4
64	свободе и	2	4
65	о великом	4	4
66	в них	3	4
67	один из	2	4
68	от него	2	4
69	что и	3	4
70	против бога	4	4
71	уже не	2	4
72	в человека	2	4
73	тем что	2	4
74	нет у	4	3
75	к тому	3	3
76	для нас	2	3
77	свободы совести	4	3
78	для человека	2	3
79	этого мира	3	3
80	не имеет	3	3
81	не так	2	3
82	должно быть	3	3
83	его не	2	3
84	так как	9	3
85	с его	3	3
86	для них	2	3
87	к богу	8	3
88	в жизни	3	3
89	вера в	2	3
90	том что	2	3
91	конечно не	2	3
92	на том	2	3
93	не хотел	2	3
94	бы и	3	3
95	в боге	5	3
96	хотя бы	3	3
97	христос не	3	2
98	всемирной истории	3	2
99	и мы	3	2
100	мира сего	4	2
101	жизни и	3	2
102	могут быть	2	2
103	всего в	2	2
104	человека как	2	2
105	все эти	3	2
106	и что	3	2
107	людей и	2	2
108	самого себя	2	2
109	в истории	8	2
110	как бы	5	2
111	с ним	2	2
112	уж конечно	2	2
113	божественной жизни	2	2
114	и во	2	2
115	от свободы	2	2
116	все что	4	2
117	истории и	2	2
118	на земле	7	2
119	того чтобы	2	2
120	к чему	3	2
121	и для	3	2
122	любовь к	3	2
123	от этого	3	2
124	в бога	2	2
