N	2gram	Tiupa_Lite_3	FransuaR
1	и в	16	56
2	то есть	5	24
3	в романе	3	21
4	в его	6	18
5	в этом	14	14
6	в том	12	13
7	так и	9	13
8	и его	6	12
9	в то	9	12
10	до конца	4	11
11	как бы	8	11
12	и т.п	6	11
13	то же	9	11
14	же время	7	10
15	еще не	6	10
16	только в	7	9
17	в самом	3	9
18	но и	14	9
19	и не	22	9
20	том что	8	8
21	не только	14	8
22	в нем	2	8
23	во всех	2	8
24	и даже	2	8
25	и с	2	8
26	в частности	11	7
27	как мы	2	7
28	и на	2	7
29	все они	2	6
30	прежде всего	3	6
31	в ее	5	6
32	в этой	8	6
33	той же	3	6
34	потому что	3	6
35	на его	3	6
36	точки зрения	7	6
37	связи с	2	6
38	но в	3	6
39	но не	4	5
40	с его	6	5
41	никогда не	4	5
42	ни с	2	5
43	с ее	3	5
44	как и	5	5
45	одним из	4	5
46	один из	2	5
47	своего рода	10	5
48	что в	2	5
49	в области	3	5
50	и ее	2	4
51	в себе	6	4
52	в качестве	5	4
53	например в	3	4
54	и к	3	4
55	наконец в	3	4
56	и потому	2	4
57	даже в	4	4
58	в совершенно	2	4
59	в ту	2	4
60	с одной	4	4
61	при этом	15	4
62	того чтобы	2	4
63	в основе	5	4
64	в своих	2	4
65	о том	6	4
66	по своей	3	4
67	том числе	3	3
68	как например	2	3
69	более того	3	3
70	в первой	2	3
71	может быть	12	3
72	а также	4	3
73	что и	2	3
74	то что	12	3
75	время в	2	3
76	еще и	2	3
77	там где	3	3
78	в году	5	3
79	уже не	3	3
80	и наконец	3	3
81	не в	10	3
82	между тем	3	3
83	в другом	6	3
84	если бы	2	2
85	с другой	6	2
86	это не	5	2
87	не как	2	2
88	в одном	4	2
89	к этому	2	2
90	что он	5	2
91	бы и	3	2
92	можно сказать	2	2
93	ни было	2	2
94	и как	3	2
95	а на	2	2
96	числе и	2	2
97	между людьми	2	2
98	для него	2	2
99	одной стороны	4	2
100	было бы	2	2
101	и сам	2	2
102	из них	4	2
103	несмотря на	2	2
104	а в	5	2
105	хотя и	4	2
106	еще один	2	2
107	все же	2	2
108	в своей	7	2
109	в мире	16	2
110	когда он	2	2
111	вместе с	5	2
112	самом деле	3	2
113	данном случае	4	2
114	другой стороны	2	2
115	во всей	2	2
116	так же	2	2
117	как раз	2	2
118	не может	8	2
119	то ни	2	2
120	а не	12	2
121	для того	2	2
122	и для	4	2
123	с точки	3	2
124	его в	2	2
125	бы то	2	2
126	в слове	3	2
127	в данном	4	2
128	с этой	2	2
129	и при	2	2
130	но с	2	2
131	он и	2	2
132	той или	2	2
133	для своего	2	2
134	далеко не	2	2
135	здесь как	2	2
136	мира и	2	2
