N	2gram	Vygotskiy__3	Psycholo
1	в том	23	37
2	и в	25	32
3	и что	10	22
4	том что	20	21
5	то что	15	21
6	таким образом	17	21
7	потому что	6	21
8	что в	17	20
9	так же	17	18
10	может быть	13	18
11	что и	10	17
12	не может	6	17
13	точки зрения	6	17
14	что она	5	16
15	того чтобы	8	14
16	что он	6	13
17	при этом	5	13
18	то же	2	13
19	для того	7	13
20	в этом	14	13
21	по себе	7	12
22	если мы	3	12
23	в самом	3	12
24	не только	6	12
25	заключается в	9	12
26	так как	12	12
27	на то	4	11
28	с тем	16	11
29	было бы	10	11
30	в основе	16	11
31	как и	15	10
32	же точно	3	10
33	когда он	3	10
34	но и	4	10
35	и не	10	10
36	никогда не	4	9
37	как в	9	9
38	в своих	2	9
39	тем что	8	9
40	что это	5	8
41	не менее	6	8
42	не в	6	8
43	дело с	3	8
44	той же	4	8
45	того что	10	8
46	на деле	3	8
47	к тому	4	7
48	ясно что	2	7
49	мы знаем	4	7
50	и как	5	7
51	все эти	7	7
52	совершенно ясно	2	7
53	можно было	6	7
54	и его	2	7
55	сказать что	4	7
56	только в	10	7
57	что они	10	7
58	все время	2	6
59	в этой	5	6
60	тот же	2	6
61	он не	4	6
62	как бы	10	6
63	о том	5	6
64	если бы	5	6
65	отнюдь не	4	5
66	вслед за	3	5
67	все это	6	5
68	этом отношении	3	5
69	как на	2	5
70	и на	6	5
71	в то	4	5
72	же как	6	4
73	столь же	7	4
74	от того	4	4
75	едва ли	2	4
76	с этой	3	4
77	в жизни	3	4
78	тем не	5	4
79	как это	7	4
80	в чем	2	4
81	и сам	3	4
82	иначе говоря	2	4
83	и той	2	4
84	и по	5	4
85	в нем	2	4
86	все же	6	4
87	с той	2	4
88	из них	4	4
89	наряду с	3	4
90	но только	3	4
91	а в	4	4
92	и все	4	4
93	мы имеем	4	4
94	одной и	2	4
95	к одному	5	4
96	мы видим	3	4
97	и для	2	4
98	тому что	2	4
99	говорит он	4	4
100	могут быть	5	4
101	с этим	4	4
102	в целом	13	4
103	и это	4	4
104	которые в	3	4
105	как она	3	4
106	того как	3	4
107	между тем	3	4
108	по своему	11	3
109	не могут	4	3
110	главным образом	2	3
111	состоит в	3	3
112	в частности	4	3
113	к которым	4	3
114	для этого	2	3
115	с другой	6	3
116	не как	3	3
117	формы в	3	3
118	и другого	2	3
119	показывает что	8	3
120	указывает на	2	3
121	которые не	4	3
122	и к	5	3
123	об этом	2	3
124	так что	2	3
125	это значит	4	3
126	как говорит	5	3
127	и заключается	2	3
128	но как	3	3
129	том виде	2	3
130	в свою	3	3
131	что с	4	3
132	в нашей	2	3
133	к области	2	3
134	мы в	2	3
135	в своей	2	3
136	сами по	3	3
137	не могли	3	3
138	один из	6	3
139	с ее	5	3
140	так и	5	3
141	и их	3	3
142	были бы	3	3
143	в отношении	6	3
144	на этом	3	3
145	имеет дело	2	3
146	которых мы	2	3
147	и других	2	3
148	этот вопрос	3	3
149	время как	4	3
150	приходит к	6	3
151	тому как	2	3
152	то время	4	3
153	в смысле	4	3
154	само по	2	3
155	в каком	2	3
156	в которых	3	3
157	и то	2	3
158	во всем	3	3
159	ни на	2	3
160	мы должны	6	3
161	того или	2	3
162	тогда когда	4	3
163	мы не	9	3
164	значит что	4	3
165	мы можем	7	3
166	слова в	2	2
167	место в	2	2
168	с его	2	2
169	показали что	4	2
170	оба эти	3	2
171	мы будем	2	2
172	их с	3	2
173	все более	2	2
174	показал что	3	2
175	в них	2	2
176	все что	2	2
177	сравнению с	3	2
178	в какой	4	2
179	и от	2	2
180	одного и	4	2
181	с другими	2	2
182	в одном	2	2
183	в ход	4	2
184	или иного	2	2
185	этой точки	2	2
186	во всяком	4	2
187	людей с	2	2
188	и эти	2	2
189	и здесь	2	2
190	ни в	9	2
191	тем и	4	2
192	всякий раз	2	2
193	свою очередь	2	2
194	еще не	4	2
195	но не	6	2
196	того же	6	2
197	виде как	2	2
198	по сравнению	4	2
199	бы с	2	2
200	из которых	5	2
201	на его	2	2
202	только потому	2	2
203	в его	15	2
204	в него	3	2
205	и процессы	2	2
206	всяком случае	4	2
207	если в	3	2
208	оно не	2	2
209	как он	3	2
210	в этих	2	2
211	для нас	2	2
212	на том	3	2
213	в процессе	27	2
214	вместе с	14	2
215	значение в	3	2
216	отличается от	3	2
217	заключает в	2	2
218	другой стороны	3	2
219	показывают что	5	2
220	а с	3	2
221	что оно	4	2
222	из того	2	2
223	что ребенок	7	2
224	здесь мы	2	2
225	и другое	5	2
226	или иному	2	2
227	и у	6	2
228	на этот	2	2
229	отличие от	6	2
230	тому или	2	2
231	в таком	2	2
232	равным образом	2	2
233	каждый из	2	2
234	но это	5	2
235	их в	3	2
236	на которых	2	2
237	моментов в	2	2
238	которые должны	2	2
239	в себе	2	2
240	того и	2	2
241	и только	2	2
242	могли бы	11	2
243	в свете	2	2
244	там где	4	2
245	эта форма	3	2
246	которая не	4	2
247	что по	2	2
248	могло бы	4	2
249	к которому	3	2
250	и которые	3	2
