N	2gram	Medvedev_F_1	Russkaja
1	не может	16	22
2	и не	20	19
3	в том	6	17
4	в этом	15	17
5	и в	24	14
6	то что	8	13
7	таким образом	13	11
8	то же	10	11
9	точки зрения	16	11
10	же время	8	10
11	но и	7	10
12	в то	9	10
13	не только	7	9
14	в себе	3	9
15	с точки	13	9
16	может быть	14	9
17	во всяком	4	9
18	прежде всего	22	8
19	как на	4	8
20	отнюдь не	6	7
21	к тому	3	7
22	и если	2	7
23	самом деле	6	7
24	и с	8	7
25	если бы	4	6
26	на самом	7	6
27	что он	3	6
28	и к	4	6
29	с тем	2	6
30	для него	3	6
31	всяком случае	4	6
32	все это	9	6
33	в своем	11	6
34	в своих	2	6
35	в россии	3	6
36	жизни в	2	5
37	хотя бы	5	5
38	он должен	3	5
39	вопрос о	2	5
40	и на	8	5
41	при этом	5	5
42	до сих	6	5
43	было бы	6	5
44	конечно не	4	5
45	в своей	11	5
46	он не	3	5
47	никогда не	4	5
48	в нем	14	5
49	сих пор	6	5
50	во всех	5	5
51	по существу	2	5
52	а в	6	5
53	только в	2	5
54	между тем	2	5
55	а лишь	2	4
56	но не	3	4
57	что в	4	4
58	то ни	3	4
59	в мире	4	4
60	как и	11	4
61	более или	6	4
62	как бы	6	4
63	все же	3	4
64	бы то	3	4
65	жизни и	7	4
66	вместе с	2	4
67	со стороны	5	4
68	от того	2	4
69	или менее	6	4
70	в их	11	4
71	приводит к	2	4
72	не в	8	4
73	в этой	6	4
74	во всем	2	4
75	в его	23	4
76	его в	3	4
77	к этой	4	4
78	именно в	8	3
79	что бы	5	3
80	в большинстве	3	3
81	главным образом	4	3
82	таким же	2	3
83	всех этих	3	3
84	и как	3	3
85	лишь в	8	3
86	должно быть	11	3
87	лучшем случае	3	3
88	еще не	6	3
89	в самом	5	3
90	том чтобы	2	3
91	ни стало	2	3
92	одной из	2	3
93	и потому	9	3
94	для этого	4	3
95	что и	2	3
96	не есть	2	3
97	и т	12	3
98	не было	3	3
99	сводится к	3	3
100	во что	2	3
101	того что	5	3
102	ко всем	2	3
103	друг друга	4	3
104	в лучшем	3	3
105	связи с	3	3
106	одна из	2	3
107	место в	7	2
108	сама по	2	2
109	нисколько не	2	2
110	всю свою	2	2
111	и более	2	2
112	должна быть	7	2
113	в частности	4	2
114	его и	2	2
115	культуры с	2	2
116	и от	7	2
117	с этим	2	2
118	ясно что	3	2
119	культуры и	3	2
120	или иного	3	2
121	по себе	5	2
122	бы ни	5	2
123	ни в	2	2
124	уже не	2	2
125	следовательно и	2	2
126	но это	3	2
127	в роде	3	2
128	не можем	2	2
129	отличается от	3	2
130	настоящее время	10	2
131	она не	6	2
132	от друга	2	2
133	но для	3	2
134	в ней	10	2
135	и является	2	2
136	в настоящее	10	2
137	отношении к	2	2
138	на почве	13	2
139	если же	2	2
140	друг от	2	2
141	время в	3	2
142	быть и	4	2
143	целый ряд	3	2
144	всем этим	2	2
145	по отношению	4	2
146	отношения к	6	2
147	к отрицанию	2	2
148	все эти	6	2
149	и вот	2	2
150	только на	5	2
151	и что	2	2
152	тем самым	3	2
153	а не	10	2
154	что такое	2	2
155	и наконец	3	2
156	и даже	3	2
157	не так	2	2
158	так же	4	2
159	и те	2	2
160	в результате	2	2
161	не о	3	2
162	даже и	2	2
163	того или	2	2
164	большинстве случаев	2	2
165	с ним	2	2
166	и должно	2	2
167	в области	3	2
168	но в	5	2
