N	2gram	Vinokur_St_2	Formalny
1	т е	10	32
2	и не	9	30
3	вовсе не	6	28
4	и в	29	27
5	может быть	2	25
6	не может	2	24
7	так и	9	21
8	и его	6	19
9	таким образом	10	18
10	в этом	21	18
11	а не	5	17
12	точки зрения	5	16
13	самом деле	3	16
14	и пр	8	15
15	в нем	4	15
16	в процессе	2	15
17	то же	2	15
18	на самом	3	14
19	как и	2	14
20	с точки	2	14
21	не в	4	12
22	если бы	2	12
23	в самом	7	11
24	и т	9	11
25	но и	19	10
26	так как	2	9
27	не только	19	9
28	так же	3	9
29	что в	19	8
30	ни в	3	8
31	при этом	2	8
32	как бы	5	8
33	то что	11	8
34	как раз	8	8
35	только в	2	8
36	не менее	3	7
37	в том	27	7
38	все это	11	7
39	потому что	9	7
40	в то	2	7
41	его в	2	7
42	между тем	5	7
43	с тем	7	7
44	совершенно не	2	7
45	в его	13	7
46	тем же	2	7
47	там где	2	7
48	с другой	4	6
49	и теперь	2	6
50	всяком случае	3	6
51	т д	6	6
52	все эти	2	6
53	но в	8	6
54	что он	13	6
55	было бы	5	6
56	все же	6	6
57	в своей	7	6
58	хотя бы	3	6
59	в данном	2	6
60	во всяком	3	6
61	вместе с	7	6
62	никогда не	3	5
63	что именно	2	5
64	ни было	2	5
65	что они	2	5
66	того чтобы	6	5
67	не является	3	5
68	другой стороны	3	5
69	в одной	2	5
70	в ней	7	5
71	в результате	2	5
72	в истории	2	5
73	но не	3	5
74	и потому	2	5
75	т п	3	5
76	тем что	3	5
77	связи с	4	5
78	в роман	2	4
79	то ни	2	4
80	прежде всего	5	4
81	к тому	10	4
82	он был	2	4
83	и как	2	4
84	до конца	3	4
85	для того	7	4
86	бы то	2	4
87	со стороны	2	4
88	они не	2	4
89	и те	2	4
90	о том	17	4
91	как это	2	4
92	по себе	3	4
93	бы ни	2	4
94	в ее	2	4
95	в романе	4	4
96	том что	27	4
97	как в	3	4
98	же как	3	3
99	что это	3	3
100	в этих	3	3
101	тому что	7	3
102	в какой	2	3
103	в конце	2	3
104	того что	5	3
105	одним из	6	3
106	в виду	7	3
107	этом отношении	9	3
108	и что	6	3
109	и на	6	3
110	никак не	2	3
111	сказать что	2	3
112	и с	4	3
113	от его	2	3
114	и более	2	3
115	в них	2	3
116	у нас	3	3
117	того же	2	3
118	еще в	2	3
119	нет и	2	3
120	оно не	3	3
121	ее в	2	3
122	в той	5	3
123	не на	2	3
124	в себе	2	3
125	в отношении	2	2
126	вообще не	3	2
127	была бы	5	2
128	но это	3	2
129	в этой	2	2
130	очевидно что	2	2
131	в общем	3	2
132	xviii века	2	2
133	где нет	2	2
134	в котором	7	2
135	и др	2	2
136	из них	3	2
137	дело не	2	2
138	в своем	9	2
139	и даже	3	2
140	действующих лиц	4	2
141	как он	2	2
142	в россии	3	2
143	в полной	2	2
144	свое выражение	2	2
145	в чисто	2	2
146	с его	2	2
147	только не	2	2
148	из нее	3	2
149	что собственно	2	2
150	к этому	4	2
151	а к	2	2
152	кажется что	3	2
153	одной из	3	2
154	ни с	2	2
155	на почве	2	2
156	даже в	2	2
157	сами по	2	2
158	не могло	3	2
159	что и	2	2
160	тем не	2	2
161	и именно	3	2
162	и речи	2	2
163	в языке	5	2
164	и самый	2	2
165	в отличие	2	2
166	что этот	2	2
167	в каком	2	2
168	и это	2	2
169	дело в	4	2
170	отличие от	2	2
171	в области	2	2
172	ничего не	4	2
173	в эту	3	2
