N	2gram	Tiupa_Disk_2	Formalny
1	и в	16	24
2	в его	3	23
3	прежде всего	7	22
4	и не	15	20
5	так и	9	18
6	не может	9	16
7	точки зрения	4	16
8	в этом	16	15
9	в нем	7	14
10	может быть	16	14
11	на почве	2	13
12	с точки	2	13
13	в своем	5	11
14	не менее	7	11
15	как и	16	11
16	должно быть	2	11
17	в своей	6	11
18	и ее	3	10
19	то же	6	10
20	в ней	2	10
21	а не	14	10
22	и его	3	10
23	все это	2	9
24	в то	5	9
25	же время	5	8
26	именно в	2	8
27	то что	5	8
28	как в	8	8
29	и на	5	8
30	не в	3	8
31	и с	2	8
32	место в	2	7
33	должна быть	2	7
34	не только	10	7
35	с ее	2	7
36	жизни и	3	7
37	но и	11	7
38	отнюдь не	6	6
39	и все	3	6
40	в том	8	6
41	в этой	4	6
42	в пределах	4	6
43	еще не	6	6
44	как бы	4	6
45	в целом	2	6
46	входит в	2	6
47	а в	2	6
48	все эти	3	6
49	при этом	17	5
50	со стороны	10	5
51	с другой	5	5
52	но в	11	5
53	с его	6	4
54	в частности	12	4
55	никогда не	2	4
56	стороны и	2	4
57	в мире	11	4
58	одной стороны	4	4
59	и может	3	4
60	отношению к	4	4
61	по отношению	4	4
62	в формах	2	4
63	что в	5	4
64	с одной	4	4
65	как на	3	4
66	но не	7	3
67	в них	3	3
68	или иного	2	3
69	что он	2	3
70	для него	5	3
71	и всякое	2	3
72	и как	3	3
73	но это	3	3
74	в большинстве	2	3
75	не о	2	3
76	он не	3	3
77	все же	6	3
78	отношение к	2	3
79	время в	2	3
80	не было	3	3
81	сводится к	2	3
82	тем самым	6	3
83	и наконец	3	3
84	его в	3	3
85	становления и	3	3
86	в основе	4	3
87	в себе	19	3
88	исторической поэтики	2	3
89	здесь не	2	3
90	в области	2	3
91	жизни не	2	2
92	же как	2	2
93	жизни в	3	2
94	это не	3	2
95	в одном	4	2
96	не сводится	4	2
97	идет о	2	2
98	здесь в	3	2
99	указать на	2	2
100	ни в	7	2
101	в строгом	3	2
102	уже не	3	2
103	из виду	3	2
104	в противовес	5	2
105	подход к	3	2
106	в ряду	2	2
107	из важнейших	2	2
108	только в	3	2
109	общения и	2	2
110	уже как	2	2
111	на языке	2	2
112	еще в	3	2
113	не с	2	2
114	что и	2	2
115	вместе с	2	2
116	художественного целого	4	2
117	не на	2	2
118	может и	2	2
119	приводит к	3	2
120	в результате	2	2
121	между тем	2	2
122	в своих	6	2
123	жизни но	3	2
124	и это	2	2
125	мира в	3	2
126	произведения как	2	2
