N	2gram	Bakhtin_Fr_6	Mirosoze
1	может быть	2	30
2	не только	10	29
3	и в	41	28
4	не может	4	28
5	но и	13	25
6	а не	2	25
7	он не	2	24
8	в этом	12	20
9	у него	7	17
10	не в	4	16
11	потому что	3	16
12	переходит в	2	15
13	в ней	4	15
14	в своей	2	15
15	никогда не	8	14
16	человека и	2	14
17	он был	4	14
18	до конца	2	14
19	в нем	16	13
20	и он	5	12
21	в самом	10	11
22	и не	3	11
23	что в	7	10
24	в своем	5	10
25	был бы	2	10
26	прежде всего	10	10
27	и все	9	10
28	что он	6	10
29	было бы	3	10
30	и потому	2	10
31	но он	5	9
32	в его	7	9
33	и его	13	9
34	из самых	2	8
35	но не	2	8
36	в котором	4	8
37	не был	2	7
38	того что	3	7
39	в конце	2	7
40	но в	8	7
41	к нему	3	7
42	в себе	5	7
43	он сам	3	6
44	должна быть	2	6
45	в том	2	6
46	в этой	8	6
47	все это	11	6
48	лишь в	2	6
49	и на	9	6
50	вместе с	6	6
51	только в	3	6
52	не могут	2	5
53	мира и	2	5
54	у нас	4	5
55	как и	7	5
56	то что	10	5
57	уже в	4	4
58	в этих	2	4
59	с этой	3	4
60	был в	2	4
61	а в	4	4
62	точки зрения	2	4
63	в них	7	4
64	один из	6	4
65	это и	2	4
66	от него	2	4
67	за пределы	2	4
68	тем что	5	4
69	для нас	2	3
70	не мог	3	3
71	но если	2	3
72	в него	3	3
73	и их	3	3
74	с этим	3	3
75	так как	10	3
76	то есть	24	3
77	и с	16	3
78	на этом	2	3
79	с его	5	3
80	в ее	5	3
81	том что	7	3
82	есть и	2	3
83	мы увидим	3	3
84	что человек	2	3
85	конечно не	3	3
86	себя в	2	3
87	духа в	2	3
88	связана с	2	2
89	от мира	2	2
90	мы еще	2	2
91	и от	4	2
92	легенды о	5	2
93	одним из	4	2
94	жизни и	3	2
95	все эти	11	2
96	и что	5	2
97	есть только	3	2
98	и те	2	2
99	людей и	3	2
100	также и	6	2
101	сказать что	6	2
102	в начале	3	2
103	в истории	2	2
104	как бы	7	2
105	о том	9	2
106	как он	2	2
107	человека с	2	2
108	бы в	2	2
109	с ним	4	2
110	в основе	4	2
111	и во	2	2
112	мы видим	6	2
113	через все	2	2
114	литературы и	2	2
115	в то	6	2
116	все что	4	2
117	ведь это	2	2
118	связано с	3	2
119	до сих	3	2
120	никто не	2	2
121	и когда	2	2
122	еще в	5	2
123	должен быть	2	2
124	все же	4	2
125	сих пор	3	2
126	не остается	3	2
127	как в	4	2
128	в центре	2	2
129	и самый	3	2
130	в той	5	2
131	того чтобы	4	2
132	и у	2	2
133	и как	4	2
134	и для	3	2
135	к этим	3	2
136	он в	2	2
