N	2gram	Bakhtin_sl_1	Stilisti
1	и в	41	42
2	как бы	12	27
3	не только	16	27
4	прежде всего	8	22
5	внутренней речи	3	18
6	хотя бы	3	17
7	но и	16	15
8	то же	14	15
9	и не	16	14
10	может быть	14	12
11	не может	14	12
12	точки зрения	16	11
13	как и	4	11
14	мы уже	2	11
15	как мы	8	10
16	в этом	12	10
17	при этом	6	9
18	в то	14	9
19	для того	2	9
20	мы не	2	9
21	все же	7	8
22	в ней	4	8
23	слово как	5	8
24	таким образом	9	8
25	эти слова	2	8
26	в себе	3	8
27	никогда не	3	7
28	зависимости от	3	7
29	и от	4	7
30	же время	12	7
31	и тем	2	7
32	и на	14	7
33	потому что	2	7
34	так как	3	7
35	с его	4	7
36	в зависимости	3	7
37	слов и	2	7
38	было бы	3	7
39	а не	15	7
40	и его	14	7
41	только в	6	7
42	в которой	4	7
43	ничего не	4	7
44	точку зрения	3	6
45	или иной	9	6
46	не в	7	6
47	в свою	3	6
48	на его	8	6
49	язык и	10	6
50	говорящего и	2	6
51	в нем	30	6
52	во всех	17	6
53	в процессе	4	6
54	так и	11	6
55	язык в	4	6
56	слова в	8	5
57	тому что	2	5
58	и той	2	5
59	и следовательно	7	5
60	не является	2	5
61	те же	2	5
62	а в	6	5
63	и с	4	5
64	и наконец	4	5
65	того или	2	5
66	в сознании	2	5
67	или иного	2	5
68	точек зрения	5	5
69	одно и	2	5
70	в его	13	5
71	в той	10	5
72	с точки	8	5
73	той же	2	5
74	слова и	13	5
75	все время	3	4
76	в каждом	4	4
77	можно сказать	2	4
78	к тому	3	4
79	свою очередь	2	4
80	в качестве	3	4
81	в самом	5	4
82	той или	9	4
83	точка зрения	8	4
84	один из	4	4
85	на слушателя	5	4
86	все это	5	4
87	языка и	12	4
88	того что	3	4
89	речь и	3	4
90	так же	2	4
91	о том	3	4
92	его в	3	4
93	но в	8	4
94	и к	5	4
95	у нас	2	4
96	мы видим	2	4
97	себя в	9	4
98	слово не	2	4
99	а с	2	4
100	всех своих	2	4
101	если мы	2	4
102	к своему	6	4
103	уже не	2	4
104	в слове	7	4
105	можно было	2	4
106	и то	2	4
107	то есть	26	4
108	так сказать	5	4
109	как только	3	3
110	в разных	3	3
111	связанных с	4	3
112	его и	3	3
113	язык не	2	3
114	перед нами	4	3
115	это не	6	3
116	этом случае	2	3
117	словом и	3	3
118	для нас	2	3
119	и эта	2	3
120	хотя и	2	3
121	в котором	2	3
122	в целом	2	3
123	из них	3	3
124	лишь в	4	3
125	и даже	6	3
126	сказать что	2	3
127	и здесь	3	3
128	свое выражение	2	3
129	и все	4	3
130	в одном	2	3
131	социальной группы	2	3
132	в ее	2	3
133	том что	2	3
134	еще не	4	3
135	конечно не	3	3
136	только на	2	3
137	слова как	6	3
138	на самом	2	3
139	и слово	2	3
140	между ними	2	3
141	и для	4	3
142	высказывания и	2	3
143	роль в	2	3
144	выражение в	3	3
145	связи с	2	3
146	бы и	3	2
147	в частности	2	2
148	друг другу	2	2
149	или даже	2	2
150	всех его	7	2
151	же слово	3	2
152	в том	3	2
153	речь но	3	2
154	для него	3	2
155	до конца	12	2
156	в пределах	14	2
157	и сам	3	2
158	в него	3	2
159	не с	2	2
160	в этих	2	2
161	отношение к	7	2
162	в отношении	6	2
163	не было	3	2
164	все эти	9	2
165	оценок и	4	2
166	должно быть	2	2
167	и те	2	2
168	высказывания не	2	2
169	также и	3	2
170	в основе	5	2
171	речи но	2	2
172	для них	2	2
173	между собой	2	2
174	с этим	3	2
175	к этому	2	2
176	связанные с	3	2
177	не должно	3	2
178	ли он	4	2
179	но не	2	2
180	по своему	2	2
181	а на	2	2
182	одной из	3	2
183	которые являются	2	2
184	и потому	4	2
185	не есть	2	2
186	войти в	2	2
187	зрения на	7	2
188	в своей	7	2
189	с ней	2	2
190	сих пор	2	2
191	связь с	2	2
192	как в	8	2
193	при всем	3	2
194	стилистическое своеобразие	2	2
195	здесь не	2	2
196	и стилистика	3	2
197	мы найдем	3	2
198	к нему	5	2
199	с ним	7	2
200	у них	2	2
201	или в	8	2
202	в языке	5	2
203	тем и	2	2
204	и вообще	2	2
205	которые в	3	2
206	на возможность	2	2
