N	2gram	Vygotskiy__5	NovoeSre
1	а не	8	17
2	не может	9	16
3	и в	30	16
4	совсем не	2	12
5	и не	6	11
6	и есть	5	10
7	что в	24	9
8	жизни и	6	8
9	он не	3	8
10	в том	27	8
11	как и	6	7
12	это есть	3	7
13	в этом	14	7
14	может быть	11	7
15	с его	2	6
16	никогда не	9	6
17	не знает	2	6
18	не в	8	6
19	ни в	3	6
20	должен быть	2	5
21	в нем	7	5
22	все это	2	5
23	и к	4	5
24	в ней	4	5
25	не только	16	5
26	то что	37	4
27	в них	4	4
28	это не	3	4
29	и все	4	4
30	и для	6	4
31	должно быть	2	4
32	потому что	23	4
33	прежде всего	4	4
34	и мы	16	4
35	о том	10	4
36	и потому	5	4
37	но и	6	3
38	не есть	4	3
39	не существует	3	3
40	должна быть	2	3
41	в своей	4	3
42	с другой	9	3
43	вопрос о	3	3
44	во всех	2	3
45	к тому	8	3
46	в ее	3	3
47	в основе	7	3
48	с тем	8	3
49	как в	3	3
50	еще не	5	3
51	сказать что	9	3
52	что все	6	2
53	времени и	3	2
54	том и	2	2
55	все время	20	2
56	у него	3	2
57	вместе с	12	2
58	но она	2	2
59	так и	3	2
60	что она	6	2
61	для этого	9	2
62	другой стороны	5	2
63	формы и	3	2
64	а в	4	2
65	с одной	12	2
66	этом смысле	2	2
67	все эти	2	2
68	того чтобы	20	2
69	одной стороны	12	2
70	и даже	2	2
71	хотя бы	3	2
72	но не	7	2
73	так же	13	2
74	по существу	2	2
75	это и	2	2
76	время как	2	2
77	мы не	3	2
78	том что	21	2
79	можно было	3	2
80	же как	2	2
81	одна из	3	2
82	и с	2	2
83	и что	23	2
84	и заключается	4	2
85	могут быть	8	2
86	с этим	2	2
87	и на	3	2
88	в себе	5	2
89	в то	2	2
90	как будто	6	2
91	и это	8	2
92	для чего	2	2
93	в центре	2	2
94	когда мы	6	2
95	том чтобы	2	2
96	как это	7	2
97	не могли	4	2
98	но в	5	2
