N	2gram	Tiupa_Hudo_1	Vladivir
1	и в	19	31
2	в году	2	30
3	не только	16	24
4	но и	10	19
5	то что	4	18
6	и не	15	17
7	том что	8	14
8	что в	6	14
9	в этом	11	14
10	что он	3	12
11	в его	9	12
12	но в	7	12
13	с его	6	11
14	в том	18	11
15	потому что	3	11
16	о том	2	11
17	и то	4	10
18	он не	4	10
19	никогда не	2	9
20	а в	12	9
21	только в	5	9
22	и по	2	8
23	в то	6	8
24	для него	4	7
25	об этом	2	7
26	как раз	3	7
27	и его	12	7
28	как это	5	7
29	сказать что	4	7
30	и к	3	6
31	можно сказать	5	6
32	в качестве	24	6
33	того же	2	6
34	и потому	2	6
35	может быть	14	6
36	так и	11	6
37	не может	7	6
38	то же	10	6
39	и что	3	6
40	а с	2	5
41	все это	2	5
42	вовсе не	2	5
43	не в	7	5
44	но как	2	5
45	а также	5	5
46	что и	2	5
47	но он	3	5
48	с ним	2	5
49	я не	2	4
50	же время	5	4
51	в своем	2	4
52	этом смысле	3	4
53	в нем	5	4
54	в себе	9	4
55	как и	2	4
56	и как	3	4
57	в этой	2	4
58	по своей	7	4
59	такого рода	10	4
60	хотя и	3	4
61	и особенно	2	4
62	один из	2	4
63	в нашем	2	4
64	себя в	7	4
65	в своей	5	4
66	говорит что	2	4
67	к нему	3	4
68	в которой	2	4
69	для меня	2	4
70	к тому	4	3
71	отнюдь не	2	3
72	со своей	3	3
73	с другой	7	3
74	в жизни	2	3
75	как в	2	3
76	но не	11	3
77	более или	5	3
78	по своему	2	3
79	за пределы	2	3
80	в целом	3	3
81	отношение к	5	3
82	или менее	5	3
83	другой стороны	5	3
84	в отношении	3	3
85	собственно говоря	2	3
86	таким образом	3	3
87	все эти	2	3
88	уже не	4	3
89	и притом	3	3
90	и на	2	3
91	к его	2	3
92	здесь не	2	3
93	то есть	18	3
94	но она	2	3
95	во мне	2	2
96	в момент	2	2
97	место в	4	2
98	не менее	3	2
99	в частности	13	2
100	в них	2	2
101	не столько	3	2
102	и весьма	2	2
103	одной из	2	2
104	тем не	3	2
105	ни в	5	2
106	личности с	2	2
107	особого рода	5	2
108	еще не	3	2
109	при этом	13	2
110	того что	4	2
111	в самом	5	2
112	и о	3	2
113	к жизни	2	2
114	даже в	3	2
115	для себя	2	2
116	дело не	2	2
117	всей его	2	2
118	из этого	2	2
119	со стороны	2	2
120	что она	2	2
121	а именно	2	2
122	и который	2	2
123	как к	2	2
124	и для	2	2
125	начиная с	2	2
126	у одного	2	2
127	лишь в	4	2
128	тем самым	4	2
129	того чтобы	2	2
130	для того	2	2
131	времени в	2	2
132	своей жизни	2	2
133	точки зрения	10	2
134	в каком	2	2
135	из этих	3	2
136	и это	2	2
137	в чем	2	2
