N	2gram	Tiupa_Narr_1	SlovoVZh
1	не может	8	16
2	точки зрения	5	14
3	может быть	15	14
4	и его	10	13
5	как бы	6	13
6	и в	11	12
7	в нашем	3	11
8	отношению к	3	11
9	по отношению	3	11
10	и не	23	10
11	если бы	7	9
12	прежде всего	4	8
13	сказать что	2	7
14	в нем	4	6
15	при этом	19	6
16	в том	8	6
17	только в	12	6
18	в ней	4	6
19	в жизни	3	5
20	то что	9	5
21	никогда не	4	5
22	а не	13	5
23	можно сказать	5	5
24	то же	8	5
25	хотя бы	2	5
26	как и	13	5
27	том что	7	5
28	отнюдь не	2	5
29	как в	4	5
30	что мы	2	5
31	героя и	2	5
32	но в	7	5
33	все же	4	4
34	жизни и	6	4
35	так и	5	4
36	с другой	2	4
37	уже не	8	4
38	что не	2	4
39	в литературе	4	4
40	как если	2	4
41	зависимости от	2	4
42	не в	6	4
43	в этом	12	4
44	и на	5	4
45	дело в	2	4
46	в самом	6	4
47	к нему	4	4
48	и является	2	4
49	не только	31	4
50	точка зрения	5	3
51	не менее	3	3
52	в своей	5	3
53	быть и	2	3
54	сих пор	2	3
55	по себе	4	3
56	но и	27	3
57	того что	4	3
58	точек зрения	2	3
59	или не	4	3
60	тем не	3	3
61	да и	2	3
62	самом деле	3	3
63	мы не	3	3
64	и с	3	3
65	о том	4	3
66	и ее	3	3
67	в себе	6	3
68	для него	4	3
69	до сих	2	3
70	в пределах	2	3
71	еще не	4	3
72	только на	2	3
73	и для	2	3
74	здесь не	2	3
75	с ним	2	3
76	но для	3	3
77	между тем	3	3
78	зависит от	2	2
79	с его	4	2
80	что в	3	2
81	данном случае	8	2
82	вместе с	2	2
83	значения и	2	2
84	в зависимости	2	2
85	в этих	2	2
86	между собой	2	2
87	в форме	2	2
88	в своем	3	2
89	другой стороны	2	2
90	это не	3	2
91	дело с	2	2
92	мы имеем	3	2
93	и все	3	2
94	в особенности	2	2
95	тому же	6	2
96	этих двух	2	2
97	слово это	2	2
98	едва ли	3	2
99	но зато	2	2
100	в событии	2	2
101	же самое	2	2
102	и притом	2	2
103	в данном	11	2
104	и то	3	2
105	мы можем	2	2
106	но не	4	2
107	одно и	2	2
108	еще раз	3	2
109	до конца	2	2
110	она не	2	2
111	в то	4	2
112	имеет место	4	2
113	оно не	2	2
114	кругозора и	3	2
115	в чем	2	2
116	как это	3	2
117	к ним	2	2
118	ничего не	2	2
119	к его	2	2
120	он не	3	2
121	в его	6	2
122	между ними	2	2
