N	2gram	Berdyaev_N_1	Istorich
1	и в	16	25
2	вместе с	2	22
3	может быть	7	17
4	не только	5	13
5	но и	3	13
6	и не	11	11
7	уже не	2	11
8	в этом	7	10
9	с другой	3	9
10	с тем	3	8
11	что в	9	8
12	том что	2	8
13	еще не	3	8
14	другой стороны	2	8
15	все эти	2	8
16	и что	2	8
17	и на	2	8
18	как и	7	7
19	но это	6	7
20	то что	4	7
21	одной стороны	2	7
22	в нем	5	7
23	с одной	2	7
24	потому что	4	7
25	о том	4	7
26	это не	4	6
27	прежде всего	4	6
28	себя в	2	6
29	как в	3	6
30	не может	16	6
31	не в	6	6
32	могут быть	2	6
33	в том	8	6
34	с этим	2	5
35	но не	2	5
36	в ней	5	5
37	так же	2	5
38	мы не	2	5
39	не менее	4	4
40	что все	2	4
41	в ее	3	4
42	наряду с	3	4
43	же как	2	4
44	все это	5	4
45	в истории	3	4
46	он не	8	4
47	и это	2	4
48	никогда не	6	3
49	и все	4	3
50	в то	2	3
51	того чтобы	2	3
52	и пр	3	3
53	а в	2	3
54	и с	2	3
55	у него	2	2
56	формы и	2	2
57	не знал	2	2
58	человека и	3	2
59	вопрос о	3	2
60	по существу	2	2
61	такой же	2	2
62	одна из	2	2
63	она не	3	2
64	жизни и	8	2
65	и мы	4	2
66	хозяйственной жизни	2	2
67	но для	2	2
68	должно было	2	2
69	и потому	4	2
70	должен быть	5	2
71	в своей	3	2
72	во всех	3	2
73	том чтобы	2	2
74	в наше	3	2
75	и для	4	2
76	а не	17	2
77	роль в	2	2
78	сказать что	3	2
79	центр тяжести	2	2
80	значит что	4	2
81	это было	3	2
