N	3gram	Vygotskiy__1	Freidism
1	с точки зрения	18	11
2	по отношению к	7	8
3	во всяком случае	3	7
4	не может быть	5	7
5	в самом деле	2	6
6	то же время	2	4
7	в данном случае	2	4
8	в то же	2	4
9	можно сказать что	4	4
10	в зависимости от	2	4
11	с самого начала	8	3
12	в свою очередь	3	3
13	если бы он	2	3
14	на этот вопрос	2	3
15	в собственном смысле	5	3
16	и той же	2	3
17	одной и той	2	3
18	для того чтобы	15	3
19	то же самое	3	2
20	с одной стороны	8	2
21	а с другой	2	2
22	в этом отношении	4	2
23	в высшей степени	4	2
24	до сих пор	4	2
25	благодаря тому что	2	2
