N	2gram	Vygotskiy__6	formyVre
1	и в	28	46
2	в этом	27	22
3	прежде всего	2	14
4	и его	3	12
5	только в	18	11
6	не только	16	11
7	во всех	4	11
8	в том	28	10
9	как бы	11	10
10	точки зрения	13	10
11	но в	5	10
12	у него	2	9
13	не в	4	9
14	мы уже	2	9
15	вместе с	7	9
16	но и	10	9
17	и не	11	9
18	в связи	2	8
19	связи с	3	8
20	как и	6	8
21	в его	3	8
22	то же	7	8
23	того чтобы	10	8
24	для того	8	8
25	с точки	10	8
26	потому что	22	8
27	из них	2	8
28	в них	3	7
29	в одном	2	7
30	может быть	13	7
31	то что	28	7
32	так и	6	7
33	и на	5	7
34	никогда не	8	6
35	и все	5	6
36	при этом	3	6
37	как мы	10	6
38	по вертикали	3	6
39	еще не	8	6
40	его в	6	6
41	все же	2	6
42	все это	2	6
43	те же	3	6
44	и наконец	2	6
45	в основе	3	6
46	так как	10	6
47	в частности	4	5
48	в своем	7	5
49	с этим	4	5
50	связанные с	3	5
51	по существу	2	5
52	в пределах	5	5
53	в то	6	5
54	но не	10	5
55	он не	7	5
56	и др	2	5
57	в нем	7	5
58	что в	17	5
59	все эти	2	5
60	с этой	2	4
61	из этих	3	4
62	с ним	2	4
63	том что	19	4
64	так что	6	4
65	что они	2	4
66	с другом	5	4
67	друг с	5	4
68	в ряду	2	4
69	к ряду	2	4
70	том же	5	4
71	в котором	2	4
72	как в	3	4
73	отношения к	3	4
74	а не	3	4
75	в себе	4	4
76	того же	7	3
77	с помощью	13	3
78	к тому	10	3
79	на развитие	5	3
80	что он	18	3
81	и как	6	3
82	в качестве	4	3
83	для него	6	3
84	том как	2	3
85	имеет место	2	3
86	хотя и	3	3
87	что на	4	3
88	что и	4	3
89	ее в	2	3
90	отношение к	7	3
91	целый ряд	4	3
92	не на	2	3
93	и другие	2	3
94	таким образом	18	3
95	в совершенно	2	3
96	в их	3	3
97	того что	24	3
98	и по	3	3
99	а в	2	3
100	на основе	4	3
101	в которых	2	3
102	тем что	8	3
103	в другом	2	3
104	же самое	6	3
105	в этих	2	3
106	не могли	5	3
107	на этом	4	2
108	все основные	2	2
109	и более	2	2
110	до того	3	2
111	по своему	2	2
112	друг другу	2	2
113	на котором	2	2
114	лежит в	3	2
115	с другой	2	2
116	и других	7	2
117	это не	5	2
118	в одной	4	2
119	что все	5	2
120	по себе	3	2
121	можно сказать	6	2
122	в отношении	10	2
123	именно в	4	2
124	у нас	2	2
125	мы видим	7	2
126	в этой	5	2
127	с тем	5	2
128	между ними	7	2
129	до конца	3	2
130	она не	2	2
131	было бы	9	2
132	и к	6	2
133	в сущности	7	2
134	один из	3	2
135	сих пор	3	2
136	мы видели	8	2
137	принадлежит к	2	2
138	этом случае	2	2
139	опирается на	2	2
140	не может	19	2
141	в зоне	8	2
142	и только	3	2
143	этом отношении	3	2
144	связи между	6	2
145	в себя	3	2
146	над ними	2	2
147	в той	4	2
148	так же	15	2
149	как на	3	2
150	у них	2	2
151	в иной	2	2
152	значение для	3	2
153	в данном	2	2
154	но это	2	2
155	то в	5	2
156	от этого	3	2
157	и от	2	2
158	мы имеем	4	2
159	могут быть	5	2
160	но он	2	2
161	ту же	3	2
162	не знает	3	2
163	в конце	2	2
164	там где	7	2
165	как это	3	2
166	до сих	3	2
