N	2gram	Bakhtin_Pr_2	FransuaR
1	и в	43	45
2	то есть	4	25
3	и не	29	15
4	не только	11	14
5	в этом	13	14
6	но в	10	14
7	в его	10	13
8	во всех	4	13
9	и его	8	13
10	как бы	22	12
11	во время	4	12
12	что в	4	12
13	в своем	4	11
14	в романе	3	11
15	то же	8	11
16	в то	7	11
17	прежде всего	10	10
18	в том	6	10
19	в нем	12	10
20	но и	14	10
21	как и	14	10
22	и с	5	10
23	же время	5	9
24	вовсе не	5	8
25	как мы	10	8
26	и др	2	8
27	таким образом	5	8
28	в самой	4	8
29	так же	2	8
30	с его	4	7
31	в конце	2	7
32	он был	3	7
33	том что	2	7
34	не в	11	7
35	что и	3	7
36	все это	5	7
37	также и	3	7
38	и все	6	7
39	что он	13	6
40	он не	9	6
41	здесь не	6	6
42	так и	3	6
43	мысли и	2	6
44	так как	4	6
45	в них	4	6
46	есть и	3	5
47	с ним	3	5
48	и к	3	5
49	но это	4	5
50	со всеми	3	5
51	например в	2	5
52	хотя и	5	5
53	и их	3	5
54	как раз	4	5
55	не может	18	5
56	все эти	5	5
57	в себя	3	5
58	самом деле	5	5
59	и как	2	5
60	и на	10	5
61	его в	3	5
62	перед нами	7	4
63	об этом	2	4
64	мы не	4	4
65	у него	6	4
66	и здесь	3	4
67	тому же	3	4
68	такой же	3	4
69	но не	5	4
70	по своему	2	4
71	здесь в	3	4
72	ничего не	3	4
73	кроме того	3	4
74	в самом	7	4
75	в сущности	9	4
76	и о	2	4
77	между собою	4	4
78	мы уже	3	4
79	в первой	2	4
80	в их	3	4
81	а не	7	4
82	и даже	3	4
83	а в	5	4
84	той же	3	4
85	можно было	3	4
86	сказать что	2	4
87	с этим	2	4
88	точки зрения	13	4
89	только в	4	4
90	о том	5	4
91	и это	4	4
92	бы в	5	4
93	не менее	3	3
94	в приведенном	3	3
95	как в	2	3
96	это не	3	3
97	в одной	3	3
98	из этих	2	3
99	в одном	12	3
100	что на	2	3
101	словом и	2	3
102	ни в	2	3
103	по существу	3	3
104	но на	2	3
105	есть в	3	3
106	того же	3	3
107	то время	2	3
108	для него	8	3
109	в своей	4	3
110	до сих	7	3
111	здесь нет	3	3
112	сих пор	7	3
113	всего этого	2	3
114	того что	2	3
115	на этот	4	3
116	и он	5	3
117	и для	3	3
118	почти всегда	2	3
119	в которых	2	3
120	но он	4	3
121	он и	3	3
122	ведь и	7	3
123	в другом	7	3
124	в поэзии	2	3
125	но этот	2	3
126	как он	2	3
127	дело в	2	3
128	там где	4	3
129	не могут	4	2
130	их с	2	2
131	если мы	2	2
132	на фоне	5	2
133	и та	2	2
134	в сторону	2	2
135	себя и	3	2
136	и без	2	2
137	превращается в	2	2
138	хотя бы	2	2
139	переходит в	2	2
140	и чувствует	2	2
141	еще один	3	2
142	к тому	4	2
143	слова но	2	2
144	в отношении	3	2
145	отличие от	4	2
146	конечно в	2	2
147	своей жизни	2	2
148	то что	7	2
149	в пределах	16	2
150	него не	2	2
151	в большинстве	9	2
152	и слова	2	2
153	ведь это	2	2
154	из его	2	2
155	было бы	5	2
156	что это	2	2
157	друг с	4	2
158	не хочет	3	2
159	конечно не	2	2
160	может быть	23	2
161	том же	4	2
162	ведь он	2	2
163	с другом	4	2
164	даже в	3	2
165	и мысли	2	2
166	в каждом	11	2
167	слова и	12	2
168	все же	3	2
169	уже говорили	3	2
170	в целом	2	2
171	когда он	3	2
172	на том	2	2
173	на него	3	2
174	и до	4	2
175	в различных	3	2
176	им в	2	2
177	в отличие	4	2
178	и только	3	2
179	при этом	6	2
180	но эта	2	2
181	чтобы не	2	2
182	в одно	3	2
183	лишь в	8	2
184	и что	5	2
185	и наконец	6	2
186	с точки	8	2
187	к нему	5	2
188	рядом с	5	2
189	здесь с	2	2
190	почти не	2	2
191	между тем	3	2
192	говорили что	2	2
193	мы можем	2	2
194	ту же	2	2
195	уже и	2	2
196	большинстве случаев	8	2
197	в эту	3	2
