N	3gram	Losev_Vesc_1	KulturaY
1	с точки зрения	3	16
2	в самом деле	4	11
3	для того чтобы	2	11
4	тем не менее	3	9
5	в том что	4	8
6	и т д	19	8
7	в данном случае	2	4
8	с одной стороны	3	4
9	только тогда когда	2	4
10	бы сказать что	2	3
11	с другой стороны	2	3
12	можно говорить о	2	3
13	сам по себе	3	3
14	не только в	4	3
15	не может быть	6	3
16	было бы сказать	2	3
17	о том что	4	3
18	но если это	2	2
19	сама по себе	3	2
20	в свое время	2	2
21	это и значит	2	2
22	только то что	2	2
23	в той или	2	2
24	в первом случае	2	2
