N	2gram	Nazirov_Tr_1	Myslijsy
1	потому что	2	52
2	то есть	3	42
3	и в	18	39
4	может быть	7	27
5	в том	2	26
6	что в	4	22
7	не может	5	22
8	не только	8	21
9	в нем	4	20
10	но и	4	20
11	и не	7	18
12	том что	4	16
13	так что	2	16
14	не в	2	15
15	в этом	9	15
16	так и	5	13
17	в себе	4	13
18	в душе	2	11
19	точно так	2	11
20	то что	4	10
21	как в	3	10
22	и что	4	10
23	как и	5	9
24	тем что	2	9
25	но в	6	9
26	в одном	2	8
27	должно быть	3	7
28	это не	5	7
29	то и	2	7
30	и как	3	6
31	еще не	4	6
32	как бы	7	6
33	что и	2	6
34	все же	5	6
35	то же	5	6
36	при этом	3	6
37	с тем	2	5
38	несмотря на	5	5
39	но это	4	5
40	в его	3	5
41	в первом	2	5
42	так же	4	5
43	не имеет	2	5
44	друг друга	2	5
45	и его	6	5
46	в таком	2	5
47	не могут	2	4
48	никогда не	2	4
49	тем самым	3	4
50	вопрос о	2	4
51	прежде всего	4	4
52	же время	6	4
53	для него	3	4
54	к тому	2	4
55	и даже	4	4
56	в то	5	4
57	что это	5	3
58	столь же	2	3
59	и это	2	3
60	что все	2	3
61	в этой	4	3
62	в своем	3	3
63	по поводу	2	3
64	никто не	3	3
65	в мире	3	3
66	в самом	2	3
67	по мнению	2	3
68	но при	2	3
69	не мог	2	3
70	не так	2	3
71	с ним	3	3
72	в глазах	2	3
73	и то	2	3
74	он не	2	3
75	и все	4	3
76	и с	7	3
77	под влиянием	2	2
78	а как	2	2
79	о его	2	2
80	уже не	2	2
81	но все	2	2
82	мог бы	3	2
83	если б	2	2
84	с ее	3	2
85	в целом	4	2
86	как будто	3	2
87	о том	2	2
