N	2gram	Propp_Russ_1	UchenyiS
1	и в	36	14
2	а не	2	10
3	не только	22	10
4	и не	6	8
5	то что	6	7
6	в этом	12	7
7	не может	4	7
8	может быть	8	6
9	все это	6	5
10	то же	3	5
11	но и	16	4
12	в их	4	4
13	в россии	4	4
14	но в	2	3
15	как и	10	3
16	все же	5	3
17	в частности	2	3
18	для этого	2	3
19	это не	10	3
20	в области	3	3
21	у нас	8	3
22	том что	19	2
23	но не	2	2
24	в том	17	2
25	по существу	4	2
26	на каждом	3	2
27	мы не	6	2
28	всех этих	2	2
29	и для	2	2
30	но это	4	2
31	должна была	2	2
32	о чем	3	2
33	не случайно	2	2
34	только в	4	2
35	и с	2	2
36	но даже	2	2
37	тем что	4	2
38	могут быть	2	2
39	их и	3	2
40	его и	2	2
41	и у	5	2
42	в некоторых	4	2
43	ничего не	3	2
44	что она	2	2
45	что и	7	2
46	в его	2	2
47	между тем	7	2
48	таким образом	6	2
49	же не	2	2
