N	2gram	Tiupa_Lite_3	RusskieA
1	и в	16	29
2	что в	2	22
3	том что	8	22
4	в том	12	22
5	как бы	8	18
6	состоит в	6	15
7	может быть	12	13
8	как и	5	11
9	в этом	14	11
10	и с	2	10
11	не только	14	10
12	а на	2	9
13	о том	6	9
14	а в	5	9
15	но и	14	8
16	ее в	2	8
17	его в	2	8
18	данном случае	4	7
19	как в	5	7
20	же в	2	6
21	еще не	6	6
22	для того	2	6
23	вместе с	5	6
24	при этом	15	6
25	того чтобы	2	6
26	и на	2	6
27	в данном	4	6
28	потому что	3	5
29	это не	5	5
30	к этому	2	5
31	то что	12	5
32	но не	4	5
33	с ней	2	5
34	к жизни	2	5
35	не может	8	5
36	но в	3	5
37	именно в	5	4
38	о чем	3	4
39	вопрос о	2	4
40	а затем	3	4
41	уже не	3	4
42	по существу	4	4
43	не в	10	4
44	из них	4	4
45	песни и	2	4
46	а также	4	4
47	так же	2	4
48	то же	9	4
49	у нас	2	4
50	а не	12	4
51	далеко не	2	4
52	как это	3	4
53	тем что	2	3
54	в качестве	5	3
55	не всегда	2	3
56	в году	5	3
57	как например	2	3
58	в ее	5	3
59	за ним	2	3
60	до конца	4	3
61	того что	9	3
62	было бы	2	3
63	нас к	2	3
64	во всех	2	3
65	в природе	4	3
66	а именно	5	3
67	в отличие	5	3
68	как мы	2	3
69	тому как	3	3
70	между тем	3	3
71	подобно тому	2	3
72	в этой	8	3
73	отличие от	5	3
74	не менее	2	2
75	с этой	2	2
76	связи с	2	2
77	никогда не	4	2
78	в советской	2	2
79	жизни в	4	2
80	с другой	6	2
81	прежде всего	3	2
82	что и	2	2
83	в г	3	2
84	и как	3	2
85	одним из	4	2
86	и при	2	2
87	одной стороны	4	2
88	совершенно не	3	2
89	еще в	3	2
90	один из	2	2
91	не с	2	2
92	все же	2	2
93	в своей	7	2
94	том чтобы	2	2
95	в самый	2	2
96	а и	2	2
97	тогда как	17	2
98	с одной	4	2
99	там где	3	2
100	и для	4	2
101	должно быть	4	2
102	право на	2	2
103	быть только	2	2
104	в своих	2	2
105	одно из	4	2
106	на себя	2	2
107	и ее	2	2
108	в то	9	2
109	так чтобы	2	2
110	представляет собой	2	2
