N	2gram	Vygotskiy__4	Stilisti
1	и в	33	42
2	как бы	25	27
3	не только	7	27
4	прежде всего	2	22
5	хотя бы	2	17
6	но и	3	15
7	то же	9	15
8	и не	13	14
9	может быть	22	12
10	не может	10	12
11	точки зрения	6	11
12	как и	5	11
13	мы уже	5	11
14	и как	5	10
15	что мы	6	10
16	мы должны	6	10
17	как мы	4	10
18	в этом	28	10
19	при этом	2	9
20	в то	3	9
21	то что	44	9
22	для того	23	9
23	мы не	5	9
24	все же	5	8
25	в ней	6	8
26	таким образом	13	8
27	с тем	4	8
28	тем самым	3	8
29	эти слова	3	8
30	в себе	6	8
31	и это	5	8
32	никогда не	5	7
33	и от	2	7
34	же время	2	7
35	и на	5	7
36	потому что	24	7
37	так как	12	7
38	с его	2	7
39	было бы	12	7
40	а не	6	7
41	того чтобы	22	7
42	и его	5	7
43	мы можем	5	7
44	только в	4	7
45	в которой	4	7
46	ничего не	2	7
47	мы будем	5	6
48	не в	2	6
49	в этой	9	6
50	в конце	8	6
51	когда мы	6	6
52	и так	4	6
53	в нем	7	6
54	во всех	2	6
55	так и	3	6
56	уже в	2	5
57	тому что	6	5
58	и той	2	5
59	и является	2	5
60	не является	2	5
61	те же	2	5
62	а в	4	5
63	и с	2	5
64	и наконец	2	5
65	же самое	6	5
66	как это	14	5
67	же мы	2	5
68	мы никогда	3	5
69	в его	10	5
70	вместе с	8	5
71	в той	3	5
72	с точки	4	5
73	той же	4	5
74	слова и	4	5
75	самого начала	5	4
76	все время	24	4
77	что это	13	4
78	не просто	4	4
79	что именно	3	4
80	можно сказать	2	4
81	к тому	12	4
82	с самого	5	4
83	которой мы	3	4
84	но все	2	4
85	в самом	12	4
86	точка зрения	2	4
87	один из	2	4
88	в словах	2	4
89	все это	13	4
90	того что	4	4
91	так же	13	4
92	о том	20	4
93	его в	3	4
94	но в	2	4
95	если бы	10	4
96	и к	2	4
97	у нас	4	4
98	мы видим	6	4
99	мы увидим	2	4
100	себя в	4	4
101	на него	4	4
102	а с	2	4
103	если мы	12	4
104	самом деле	12	4
105	можно было	4	4
106	и то	2	4
107	то есть	13	4
108	как только	2	3
109	его и	2	3
110	что у	4	3
111	перед нами	6	3
112	это не	6	3
113	для нас	7	3
114	мы легко	3	3
115	здесь мы	3	3
116	и эта	2	3
117	в котором	2	3
118	и уже	4	3
119	в целом	5	3
120	из них	4	3
121	жизни и	4	3
122	что оно	3	3
123	и вот	6	3
124	их в	3	3
125	сказать что	13	3
126	и здесь	3	3
127	ни на	2	3
128	та же	3	3
129	в виду	2	3
130	бы мы	3	3
131	и все	12	3
132	в одном	3	3
133	если он	2	3
134	этого слова	3	3
135	об этом	4	3
136	в ее	2	3
137	том что	22	3
138	в тех	2	3
139	построения и	2	3
140	мы в	3	3
141	конечно не	3	3
142	должно было	2	3
143	что и	3	3
144	не будет	4	3
145	да и	3	3
146	слова как	3	3
147	на самом	6	3
148	и для	3	3
149	слов в	2	3
150	конце концов	3	3
151	связи с	2	3
152	место в	2	2
153	бы и	2	2
154	в частности	4	2
155	в какой	5	2
156	вопрос о	2	2
157	нам придется	3	2
158	в мире	3	2
159	в том	21	2
160	и конечно	2	2
161	тому же	3	2
162	иметь дело	2	2
163	времени и	2	2
164	до конца	7	2
165	в пределах	3	2
166	эти три	2	2
167	себе и	2	2
168	но мы	2	2
169	о них	2	2
170	целый ряд	5	2
171	не было	3	2
172	все эти	6	2
173	только одна	2	2
174	должно быть	3	2
175	нам в	2	2
176	его не	2	2
177	либо в	4	2
178	в которых	3	2
179	в своих	3	2
180	также и	2	2
181	которые с	2	2
182	все то	12	2
183	что эти	2	2
184	мы имеем	2	2
185	в жизни	4	2
186	в основе	3	2
187	смысле этого	3	2
188	с этим	5	2
189	к этому	4	2
190	ясно что	5	2
191	что он	20	2
192	видим что	2	2
193	ли он	2	2
194	представляет собой	2	2
195	но не	3	2
196	а на	2	2
197	почему же	2	2
198	тот же	3	2
199	точном смысле	2	2
200	и когда	2	2
201	оно является	2	2
202	и потому	2	2
203	и этот	3	2
204	перед ним	2	2
205	совершенно иначе	3	2
206	в своей	4	2
207	сих пор	3	2
208	связь с	5	2
209	как в	3	2
210	бы не	2	2
211	одной и	2	2
212	перейти к	2	2
213	допустим что	2	2
214	из которых	3	2
215	и он	3	2
216	с ним	5	2
217	этот вопрос	4	2
218	между двумя	2	2
219	тем что	3	2
220	в каком	8	2
221	тем и	2	2
222	ее с	4	2
