N	2gram	Berdyaev_O_1	Myshleni
1	и в	19	25
2	в том	5	23
3	том что	2	20
4	что в	4	17
5	с тем	2	16
6	как и	6	15
7	то что	5	15
8	в его	7	15
9	в этом	12	14
10	может быть	11	13
11	так как	2	12
12	что они	2	10
13	как бы	3	10
14	и не	13	10
15	того что	3	10
16	было бы	3	10
17	что и	2	10
18	того чтобы	4	8
19	тем что	2	8
20	уже в	2	7
21	все эти	4	7
22	по себе	2	7
23	для того	3	7
24	не в	11	6
25	не может	4	6
26	и на	2	6
27	потому что	9	6
28	что он	3	6
29	не только	11	6
30	все же	2	6
31	все это	6	6
32	так и	2	5
33	для него	5	5
34	человека и	10	5
35	и к	2	5
36	о том	3	5
37	могут быть	3	5
38	в этой	5	5
39	не могут	3	4
40	никогда не	9	4
41	в своем	2	4
42	прежде всего	9	4
43	но и	13	4
44	а в	5	4
45	сказать что	2	4
46	с ним	3	4
47	и все	10	4
48	еще не	3	4
49	он не	7	4
50	в самом	5	3
51	его в	2	3
52	к этому	2	3
53	не есть	2	3
54	когда он	3	3
55	не могли	2	3
56	можно ли	2	2
57	в этих	3	2
58	и от	3	2
59	так что	2	2
60	хотя и	2	2
61	в нем	10	2
62	должно быть	2	2
63	в своих	3	2
64	с его	4	2
65	все еще	2	2
66	все что	3	2
67	и потому	2	2
68	в своей	2	2
69	и для	2	2
70	и его	4	2
71	и то	2	2
72	в себе	3	2
