N	2gram	Losev_Vesc_1	NovoeSre
1	а не	19	17
2	не может	17	16
3	и в	21	16
4	и не	29	11
5	и есть	26	10
6	что в	9	9
7	истории и	2	9
8	жизни и	2	8
9	в том	8	8
10	не будет	12	7
11	как и	8	7
12	это есть	7	7
13	в этом	4	7
14	может быть	16	7
15	никогда не	2	6
16	не в	5	6
17	но это	10	6
18	должен быть	2	5
19	в нем	2	5
20	все это	5	5
21	в жизни	3	5
22	с ее	6	5
23	в ней	12	5
24	не только	36	5
25	не менее	3	4
26	то что	27	4
27	перестает быть	3	4
28	это не	5	4
29	и все	5	4
30	и для	9	4
31	должно быть	6	4
32	есть лишь	2	4
33	потому что	16	4
34	прежде всего	9	4
35	о том	6	4
36	значит что	24	4
37	и потому	5	4
38	к ее	2	3
39	но и	18	3
40	не есть	49	3
41	должна быть	4	3
42	в своей	5	3
43	с другой	6	3
44	во всех	2	3
45	и пр	6	3
46	к тому	3	3
47	что такое	12	3
48	в ее	7	3
49	в основе	3	3
50	с тем	5	3
51	подобно тому	4	3
52	она не	4	3
53	еще не	8	3
54	тому как	4	3
55	в россии	2	3
56	сказать что	17	3
57	не значит	7	3
58	что все	2	2
59	я не	4	2
60	себя в	10	2
61	у него	2	2
62	но она	3	2
63	так и	3	2
64	что она	15	2
65	для этого	4	2
66	мысли и	3	2
67	и формы	2	2
68	другой стороны	2	2
69	и от	3	2
70	мы говорим	5	2
71	а в	4	2
72	с одной	3	2
73	все эти	3	2
74	уже не	9	2
75	того чтобы	3	2
76	одной стороны	3	2
77	и даже	6	2
78	от всякого	4	2
79	хотя бы	6	2
80	но не	5	2
81	я называю	4	2
82	вот почему	3	2
83	по существу	2	2
84	это и	6	2
85	мы не	6	2
86	том что	8	2
87	в смысле	12	2
88	можно было	2	2
89	одна из	5	2
90	и с	8	2
91	и что	15	2
92	с этим	3	2
93	равно как	2	2
94	в себе	14	2
95	ли это	7	2
96	ведь и	5	2
97	в то	3	2
98	и это	14	2
99	когда мы	6	2
100	как это	2	2
101	но для	2	2
102	хотя и	4	2
103	но в	5	2
