N	2gram	Vygotskiy__1	FransuaR
1	и в	23	49
2	прежде всего	10	19
3	в его	14	18
4	не только	16	17
5	и его	6	17
6	и на	8	17
7	и не	9	15
8	в этом	17	15
9	в них	2	13
10	только в	6	13
11	но и	14	13
12	как и	14	11
13	как бы	11	11
14	вовсе не	3	10
15	в этой	7	10
16	все это	6	9
17	для него	2	9
18	в сущности	6	8
19	все же	3	7
20	один из	2	7
21	жизни и	2	7
22	не может	12	7
23	таким образом	26	7
24	то же	8	7
25	все эти	4	7
26	как мы	5	7
27	именно в	6	6
28	то что	17	6
29	же время	2	6
30	во всех	3	6
31	так и	5	6
32	сказать что	11	6
33	и с	9	6
34	точки зрения	26	6
35	в то	7	6
36	так как	7	6
37	с его	4	5
38	никогда не	2	5
39	в своем	3	5
40	уже в	3	5
41	из этих	3	5
42	но не	4	5
43	при этом	4	5
44	может быть	14	5
45	и потому	2	5
46	в своей	4	5
47	с точки	18	5
48	и более	5	4
49	с другой	10	4
50	и к	4	4
51	в себе	6	4
52	том что	21	4
53	но все	2	4
54	в своих	5	4
55	в этих	2	4
56	значение в	3	4
57	и до	2	4
58	сих пор	4	4
59	до сих	4	4
60	в известной	2	4
61	отношения к	3	4
62	а в	2	4
63	мы находим	3	4
64	лишь в	6	4
65	как на	4	4
66	в области	3	4
67	тем что	6	4
68	там где	2	4
69	но в	5	4
70	связана с	2	3
71	всех этих	2	3
72	с одной	8	3
73	о чем	2	3
74	в течение	2	3
75	превращается в	3	3
76	в одном	4	3
77	человека и	3	3
78	на все	3	3
79	в собственном	5	3
80	что он	7	3
81	в ее	2	3
82	в том	24	3
83	а затем	5	3
84	во всем	3	3
85	в значительной	2	3
86	одной стороны	9	3
87	было бы	4	3
88	несмотря на	2	3
89	в самом	7	3
90	наконец в	2	3
91	даже в	2	3
92	мы видели	2	3
93	к этим	2	3
94	ни в	4	3
95	связан с	5	3
96	другой стороны	9	3
97	что для	5	3
98	этом отношении	4	3
99	и все	5	3
100	и других	3	3
101	и вот	2	3
102	можно было	3	3
103	их в	4	3
104	о том	6	3
105	и это	3	3
106	одного из	3	2
107	под влиянием	2	2
108	учение о	3	2
109	в противоположность	2	2
110	связи с	3	2
111	одну из	4	2
112	сознания и	3	2
113	что в	14	2
114	целое на	2	2
115	могут быть	3	2
116	за пределы	2	2
117	в нашем	2	2
118	в качестве	9	2
119	точку зрения	2	2
120	как известно	3	2
121	в смысле	2	2
122	на то	5	2
123	можно сказать	5	2
124	и эти	2	2
125	в отношении	10	2
126	чем мы	2	2
127	по существу	4	2
128	что они	3	2
129	по сравнению	6	2
130	связано с	2	2
131	ничего не	3	2
132	со всеми	2	2
133	в первую	3	2
134	значительной степени	2	2
135	хотя и	2	2
136	речь и	2	2
137	себе и	2	2
138	своей книги	2	2
139	вместе с	9	2
140	собственном смысле	5	2
141	ее в	2	2
142	в ту	2	2
143	в их	3	2
144	целый ряд	4	2
145	того как	2	2
146	нового и	2	2
147	ключ к	2	2
148	того чтобы	17	2
149	и даже	2	2
150	так же	16	2
151	другом месте	6	2
152	во всяком	3	2
153	и следовательно	3	2
154	нуждается в	2	2
155	в другом	7	2
156	мы должны	5	2
157	и т.д	5	2
158	сравнению с	5	2
159	в конце	2	2
160	тех же	2	2
161	он как	2	2
162	всяком случае	3	2
163	мы можем	6	2
