N	2gram	Tiupa_Disk_2	Analitik
1	не только	10	22
2	тогда как	11	20
3	и в	16	18
4	как и	16	14
5	так и	9	14
6	в этом	16	14
7	но и	11	13
8	и его	3	13
9	в частности	12	12
10	том что	10	12
11	о блудном	3	12
12	в качестве	16	12
13	и не	15	12
14	при этом	17	11
15	блудном сыне	3	11
16	коммуникативного события	5	11
17	ивана петровича	2	10
18	а в	2	10
19	как бы	4	10
20	то есть	12	10
21	может быть	16	9
22	со стороны	10	9
23	в тексте	3	9
24	что в	5	9
25	а не	14	9
26	повести белкина	2	9
27	в том	8	9
28	с его	6	8
29	станционного смотрителя	2	8
30	в повестях	2	8
31	петровича белкина	2	8
32	своего рода	10	8
33	с другой	5	7
34	повестях белкина	2	7
35	но не	7	7
36	в его	3	7
37	в русской	3	7
38	отношению к	4	7
39	по отношению	4	7
40	художественное целое	2	6
41	не в	3	6
42	для него	5	6
43	еще не	6	6
44	в этой	4	6
45	он не	3	6
46	художественного целого	4	6
47	о том	4	6
48	никогда не	2	5
49	не является	4	5
50	прежде всего	7	5
51	или иной	3	5
52	того же	2	5
53	такого рода	9	5
54	что и	2	5
55	в мире	11	5
56	и т.п	12	5
57	другой стороны	2	5
58	уже не	3	5
59	той же	2	5
60	в результате	2	5
61	между тем	2	5
62	мы имеем	2	5
63	я в	5	5
64	представляет собой	11	5
65	не менее	7	4
66	перед нами	3	4
67	притчи о	4	4
68	о чем	2	4
69	отнюдь не	6	4
70	белкина в	2	4
71	в своем	5	4
72	столь же	3	4
73	в одном	4	4
74	художественной целостности	2	4
75	состоит в	16	4
76	что он	2	4
77	можно сказать	3	4
78	и как	3	4
79	себя в	6	4
80	в пределах	4	4
81	картина мира	4	4
82	все же	6	4
83	принадлежит к	3	4
84	картины мира	7	4
85	русской литературе	2	4
86	в притче	2	4
87	приводит к	3	4
88	тем самым	6	4
89	и на	5	4
90	в данном	7	4
91	притчи и	2	4
92	далеко не	2	4
93	в рамках	7	3
94	восходит к	3	3
95	не столько	3	3
96	из этих	3	3
97	у пушкина	2	3
98	личности в	2	3
99	к этому	4	3
100	и того	3	3
101	сказания или	2	3
102	цикла в	2	3
103	же время	5	3
104	с их	2	3
105	мысль о	3	3
106	той или	3	3
107	к жизни	3	3
108	сочетании с	2	3
109	с ее	2	3
110	жанровая стратегия	4	3
111	в целом	2	3
112	данном случае	6	3
113	как в	8	3
114	все это	2	3
115	в сочетании	2	3
116	то же	6	3
117	не было	3	3
118	этом отношении	4	3
119	именно в	2	3
120	на языке	2	3
121	из барышни-крестьянки	3	3
122	роль в	4	3
123	сверхличной заданности	2	3
124	пока еще	2	3
125	являет собой	2	3
126	следует признать	3	3
127	точки зрения	4	3
128	подобно тому	2	3
129	одного и	3	3
130	говорить о	2	3
131	в то	5	3
132	его в	3	3
133	здесь не	2	3
134	я и	4	3
135	в противоположность	5	2
136	однако при	3	2
137	или анекдота	2	2
138	лирическое я	2	2
139	очевидным образом	3	2
140	могут быть	3	2
141	все эти	3	2
142	в анекдоте	3	2
143	в них	3	2
144	это не	3	2
145	к анекдоту	2	2
146	себе самому	2	2
147	в нем	7	2
148	как уже	2	2
149	и ее	3	2
150	ср из	2	2
151	который не	2	2
152	в соответствии	2	2
153	в противовес	5	2
154	мира и	4	2
155	подход к	3	2
156	в большинстве	2	2
157	не более	2	2
158	вследствие которого	2	2
159	одной стороны	4	2
160	ситуации рассказывания	2	2
161	внутренней мерой	3	2
162	например в	3	2
163	дистанция между	2	2
164	иначе говоря	3	2
165	по преимуществу	2	2
166	ни для	4	2
167	в ней	2	2
168	в контексте	3	2
169	а также	8	2
170	свое время	2	2
171	героем анекдота	3	2
172	по своей	6	2
173	я с	2	2
174	по сути	2	2
175	не с	2	2
176	то что	5	2
177	или из	2	2
178	вместе с	2	2
179	анекдота и	6	2
180	эстетическая модальность	2	2
181	не может	9	2
182	в отличие	12	2
183	входит в	2	2
184	в лирике	7	2
185	на примере	2	2
186	с одной	4	2
187	жанровых стратегий	2	2
188	в себя	2	2
189	сводится к	2	2
190	в той	2	2
191	жанровой стратегии	3	2
192	жанровой традиции	3	2
193	более чем	2	2
194	в принципе	2	2
195	героем притчи	2	2
196	с точки	2	2
197	жанровые стратегии	2	2
198	и для	2	2
199	и прежде	2	2
200	тому как	2	2
201	жизненной позиции	3	2
202	герой анекдота	2	2
203	речь пойдет	2	2
204	в себе	19	2
205	коммуникативным событием	2	2
206	только в	3	2
207	анекдота о	2	2
208	и все	3	2
209	в свое	2	2
210	дело в	2	2
211	в становлении	3	2
212	отличие от	12	2
213	но в	11	2
214	картине мира	2	2
215	произведения как	2	2
