N	2gram	Trubetskoy_1	Literetu
1	и не	19	22
2	тогда как	2	17
3	и в	14	16
4	в мире	4	16
5	при этом	5	15
6	не только	9	14
7	но и	10	14
8	в этом	17	14
9	а не	2	12
10	то что	13	12
11	может быть	9	12
12	в том	17	12
13	в частности	2	11
14	не в	4	10
15	то же	11	9
16	того что	3	9
17	в то	10	9
18	том что	9	8
19	не может	22	8
20	к себе	2	8
21	в этой	4	8
22	как бы	4	8
23	в своей	5	7
24	же время	10	7
25	себя в	4	7
26	со стороны	4	7
27	тем самым	2	7
28	точки зрения	11	7
29	только в	5	7
30	состоит в	2	6
31	к тому	7	6
32	еще не	3	6
33	в его	4	6
34	в себе	9	6
35	в другом	3	6
36	о том	7	6
37	в качестве	3	5
38	что он	6	5
39	как и	4	5
40	лишь в	3	5
41	вместе с	4	5
42	а в	5	5
43	именно в	3	5
44	место в	2	4
45	но не	4	4
46	никогда не	5	4
47	по существу	5	4
48	и если	7	4
49	в начале	2	4
50	и для	6	4
51	из них	3	4
52	данном случае	3	4
53	по отношению	2	4
54	жизни в	5	4
55	должно быть	3	4
56	в данном	7	4
57	как будто	2	4
58	ни к	7	3
59	только для	2	3
60	отнюдь не	7	3
61	прежде всего	8	3
62	и как	3	3
63	то в	3	3
64	совершенно не	2	3
65	и к	6	3
66	в самом	3	3
67	и тем	2	3
68	жизни и	4	3
69	уже не	2	3
70	самом деле	7	3
71	и наконец	2	3
72	с точки	9	3
73	как на	8	3
74	в глазах	2	3
75	потому что	5	3
76	самим собой	12	3
77	отношения к	2	3
78	в области	2	3
79	но в	2	3
80	между тем	5	3
81	а лишь	4	2
82	что в	4	2
83	если бы	6	2
84	все они	3	2
85	то ни	4	2
86	в конце	3	2
87	вопрос о	5	2
88	по себе	2	2
89	и вместе	2	2
90	на то	5	2
91	или иной	5	2
92	в нем	5	2
93	и при	6	2
94	связи с	3	2
95	так чтобы	3	2
96	для него	6	2
97	было бы	5	2
98	несмотря на	3	2
99	во всех	5	2
100	том чтобы	3	2
101	той или	3	2
102	себя и	5	2
103	для себя	2	2
104	то это	3	2
105	что и	3	2
106	все же	4	2
107	бы то	4	2
108	время в	2	2
109	и тогда	2	2
110	так же	2	2
111	и только	5	2
112	в совершенно	4	2
113	если не	2	2
114	и вот	2	2
115	того чтобы	8	2
116	для того	6	2
117	и даже	2	2
118	в своих	6	2
119	и на	5	2
120	и с	7	2
121	тем что	3	2
122	которой она	2	2
123	на себя	2	2
124	его в	4	2
125	и потому	3	2
126	ее в	2	2
