N	2gram	Savitsky_P_1	Mirosoze
1	может быть	5	30
2	не только	17	29
3	и в	14	28
4	не может	4	28
5	но и	6	25
6	а не	2	25
7	в этом	10	20
8	не было	2	18
9	не в	5	16
10	потому что	3	16
11	в ней	6	15
12	и есть	2	14
13	в нем	3	13
14	и это	2	12
15	и не	12	11
16	что в	4	10
17	в своем	4	10
18	в мире	2	10
19	прежде всего	3	10
20	было бы	6	10
21	и потому	4	10
22	с тем	3	9
23	в его	2	9
24	но не	3	8
25	в котором	4	8
26	быть может	6	7
27	того что	2	7
28	но в	9	7
29	в себе	3	7
30	в том	9	6
31	все это	2	6
32	только в	7	6
33	это не	3	5
34	то что	4	5
35	не к	2	4
36	отношения к	2	4
37	а в	4	4
38	духа и	2	4
39	в которых	5	4
40	точки зрения	3	4
41	в них	2	4
42	xix века	6	4
43	есть не	2	4
44	на пути	4	4
45	и вот	2	3
46	для нас	2	3
47	заключает в	2	3
48	должно быть	2	3
49	с этим	2	3
50	и с	2	3
51	для них	2	3
52	в жизни	2	3
53	на путях	4	3
54	в ее	2	3
55	том что	4	3
56	хотя бы	8	3
57	для того	3	2
58	и мы	2	2
59	могут быть	3	2
60	в начале	2	2
61	как бы	4	2
62	в россии	3	2
63	если бы	4	2
64	в то	7	2
65	и к	4	2
66	по сравнению	2	2
67	и достоевского	2	2
68	т е	3	2
69	к чему	2	2
70	и как	3	2
71	отношении к	5	2
