N	2gram	Savitsky_E_1	Problema
1	то что	6	42
2	вовсе не	6	35
3	то есть	6	33
4	и в	37	32
5	и не	14	31
6	не есть	2	29
7	в этом	12	19
8	не только	18	17
9	потому что	3	16
10	по себе	4	15
11	а не	2	15
12	в виде	5	15
13	в себе	9	15
14	как бы	6	14
15	может быть	6	14
16	но в	14	14
17	и тем	3	13
18	сказать что	4	13
19	при помощи	2	13
20	что в	21	12
21	а именно	2	12
22	том что	6	12
23	так и	10	12
24	и даже	6	11
25	также и	7	11
26	о том	3	11
27	так как	7	11
28	то же	15	10
29	прежде всего	9	10
30	в этой	2	10
31	отнюдь не	9	10
32	но не	5	9
33	в том	11	9
34	но и	14	9
35	и что	2	9
36	так же	9	9
37	по своему	7	9
38	что же	2	9
39	того чтобы	6	9
40	в таком	3	9
41	в данном	3	9
42	на то	6	8
43	данном случае	2	8
44	не может	9	8
45	и на	6	8
46	было бы	8	8
47	в своей	8	8
48	для того	6	8
49	никогда не	3	7
50	того что	7	7
51	в них	3	7
52	и все	2	7
53	во всех	6	7
54	как мы	5	7
55	во всяком	3	7
56	тем что	3	7
57	только в	9	7
58	и как	2	6
59	в самом	4	6
60	и если	2	6
61	хотя и	2	6
62	таким образом	2	6
63	но как	2	6
64	и то	2	6
65	как это	4	6
66	этом смысле	3	6
67	есть не	2	6
68	в то	16	6
69	в его	2	6
70	можно ли	3	5
71	в своем	14	5
72	или иной	4	5
73	можно сказать	4	5
74	для нас	4	5
75	есть в	2	5
76	той или	4	5
77	в котором	2	5
78	мы должны	2	5
79	с тем	3	5
80	не является	3	5
81	то в	4	5
82	тем более	4	5
83	далеко не	2	5
84	в других	2	5
85	именно в	4	4
86	чем больше	2	4
87	не в	5	4
88	не говоря	2	4
89	в их	11	4
90	и только	3	4
91	или в	2	4
92	а в	2	4
93	в истории	2	4
94	ни на	3	4
95	если бы	2	4
96	же в	2	4
97	а также	7	4
98	как в	3	4
99	тем самым	5	4
100	и притом	4	4
101	и для	3	4
102	мы можем	3	4
103	что это	2	3
104	в этих	2	3
105	в отношении	32	3
106	с другой	7	3
107	что все	2	3
108	как же	2	3
109	или вернее	2	3
110	несмотря на	4	3
111	всяком случае	3	3
112	хотя бы	15	3
113	из них	3	3
114	другой стороны	2	3
115	в которых	3	3
116	с этим	2	3
117	точки зрения	23	3
118	и еще	2	3
119	помнить что	2	3
120	уже и	3	3
121	и во	2	3
122	в случае	2	3
123	в ее	8	3
124	как и	7	3
125	того же	3	3
126	не нужно	2	3
127	но именно	2	3
128	к тому	8	3
129	он не	2	3
130	себе не	3	3
131	говорит о	3	3
132	не на	4	3
133	на этот	2	3
134	во всей	2	3
135	к нему	2	3
136	с точки	17	3
137	можно было	3	3
138	в каком	4	3
139	как будто	2	3
140	как оно	2	3
141	дело в	3	3
142	он сам	2	2
143	не могут	2	2
144	же как	5	2
145	что если	2	2
146	вообще не	3	2
147	россии как	3	2
148	из числа	4	2
149	но если	5	2
150	говоря уже	2	2
151	поскольку он	2	2
152	для этих	2	2
153	не имеет	4	2
154	во многих	4	2
155	в результате	3	2
156	и с	2	2
157	эти последние	2	2
158	известной степени	3	2
159	того или	4	2
160	между тем	8	2
161	для них	2	2
162	могут быть	2	2
163	или иного	4	2
164	и того	2	2
165	мы видим	2	2
166	в качестве	14	2
167	она не	2	2
168	но еще	2	2
169	между прочим	7	2
170	по преимуществу	2	2
171	и потому	5	2
172	не будет	3	2
173	все другие	2	2
174	вместе с	2	2
175	ее в	3	2
176	что к	2	2
177	мы не	4	2
178	с другими	2	2
179	на себя	3	2
180	в области	11	2
181	в эту	2	2
182	не можем	2	2
