N	2gram	Savitsky_P_1	Problema
1	в его	2	43
2	и не	12	42
3	и в	14	38
4	не может	4	27
5	может быть	5	26
6	как бы	4	22
7	отнюдь не	2	19
8	и с	2	17
9	в нем	3	15
10	в этом	10	15
11	и т	3	14
12	прежде всего	3	13
13	только в	7	13
14	но не	3	12
15	во всех	2	11
16	в области	11	11
17	но и	6	9
18	не только	17	9
19	в том	9	8
20	и как	3	8
21	точки зрения	3	8
22	было бы	6	8
23	то что	4	8
24	что в	4	7
25	с другой	5	7
26	не в	5	7
27	между тем	3	7
28	в пределах	8	6
29	не к	2	6
30	а в	4	6
31	с точки	3	6
32	отношения к	2	6
33	творчества и	2	5
34	то же	9	5
35	в своем	4	5
36	это не	3	5
37	должно быть	2	5
38	в них	2	5
39	не нужно	2	5
40	и о	5	5
41	а не	2	5
42	могут быть	3	5
43	не менее	2	4
44	в ней	6	4
45	с ними	3	4
46	в то	7	4
47	и потому	4	4
48	но в	9	4
49	в ее	2	4
50	может и	2	4
51	тем самым	3	4
52	хотя бы	8	4
53	в себе	3	4
54	слова но	2	3
55	да и	2	3
56	же время	7	3
57	из важнейших	2	3
58	одной стороны	3	3
59	например в	2	3
60	хотя и	3	3
61	и тем	2	3
62	все это	2	3
63	с одной	3	3
64	которую мы	2	3
65	если бы	4	3
66	и к	4	3
67	том что	4	3
68	говорить о	2	3
69	не будем	2	3
70	помнить что	2	3
71	в мире	2	3
72	и это	2	3
73	и есть	2	2
74	в частности	2	2
75	столь же	3	2
76	в значительной	2	2
77	и пр	5	2
78	в котором	4	2
79	не было	2	2
80	при посредстве	2	2
81	и других	2	2
82	того что	2	2
83	в начале	2	2
84	мы должны	4	2
85	в россии	3	2
86	есть не	2	2
87	одна из	2	2
88	для того	3	2
89	к чему	2	2
90	в виде	2	2
