N	2gram	Propp_Isto_5	VLabPisa
1	таким образом	9	27
2	в этом	10	26
3	и в	25	25
4	и т	20	24
5	не только	13	22
6	во сне	2	21
7	может быть	17	21
8	и не	11	19
9	т е	16	17
10	не может	6	17
11	в его	12	15
12	т д	18	15
13	прежде всего	6	13
14	в том	6	13
15	в частности	7	12
16	все это	4	12
17	с другой	9	11
18	из них	2	11
19	в качестве	7	10
20	о том	7	10
21	к этому	2	9
22	об этом	2	9
23	что в	8	9
24	и др	3	9
25	но и	13	9
26	то же	4	9
27	все эти	8	8
28	другой стороны	8	8
29	могут быть	6	8
30	же в	2	7
31	как и	7	7
32	том что	8	7
33	говорит о	2	7
34	отношению к	2	7
35	во всех	2	7
36	вместе с	22	7
37	по отношению	2	7
38	а не	2	7
39	у него	2	6
40	это не	6	6
41	то что	7	6
42	в основном	4	6
43	в нем	7	6
44	и его	9	6
45	их в	3	6
46	в то	3	6
47	он же	2	5
48	все же	10	5
49	и при	2	5
50	очевидно что	2	5
51	в пределах	4	5
52	связи с	8	5
53	одним из	2	5
54	как бы	2	5
55	один из	2	5
56	сказать что	2	5
57	только в	7	5
58	не в	6	5
59	никогда не	3	4
60	перед нами	2	4
61	в целом	3	4
62	что все	4	4
63	что он	22	4
64	можно сказать	2	4
65	в ее	4	4
66	одна из	2	4
67	в своей	2	4
68	даже в	2	4
69	должен быть	2	4
70	когда он	2	4
71	в связи	4	4
72	показывают что	3	4
73	в этой	3	4
74	во время	7	3
75	с тем	8	3
76	и как	3	3
77	человека и	2	3
78	мы знаем	8	3
79	в другую	2	3
80	по существу	2	3
81	мы видели	7	3
82	видели что	2	3
83	или в	6	3
84	с этим	5	3
85	например в	5	3
86	попал в	2	3
87	и он	6	3
88	его в	9	3
89	что и	6	3
90	жизни и	2	3
91	ее в	2	3
92	образом в	2	3
93	того что	2	3
94	и по	2	3
95	так же	5	3
96	его не	3	3
97	в которых	3	3
98	точки зрения	2	3
99	она не	2	3
100	том как	2	3
101	не менее	4	2
102	из себя	4	2
103	и быть	2	2
104	формы и	2	2
105	не всегда	4	2
106	вовсе не	2	2
107	а как	2	2
108	роль в	2	2
109	по себе	2	2
110	в книге	3	2
111	показывает что	5	2
112	от них	2	2
113	что при	3	2
114	в целях	3	2
115	что его	3	2
116	а затем	7	2
117	до сих	2	2
118	и потому	2	2
119	но не	5	2
120	но для	2	2
121	в различных	2	2
122	как у	2	2
123	так например	2	2
124	еще не	8	2
125	одной стороны	7	2
126	для того	3	2
127	то это	3	2
128	если бы	2	2
129	мы имеем	14	2
130	том чтобы	2	2
131	в ней	5	2
132	если в	3	2
133	при помощи	7	2
134	он может	2	2
135	после этого	2	2
136	сих пор	2	2
137	примеров можно	3	2
138	а в	3	2
139	в особенности	3	2
140	с одной	7	2
141	эти примеры	2	2
142	в течение	2	2
143	человека в	3	2
144	того чтобы	3	2
145	из которых	2	2
146	и для	2	2
147	с другими	4	2
148	также что	3	2
149	знаем что	6	2
150	он не	4	2
151	они не	3	2
152	к его	2	2
153	ту же	2	2
154	что мы	2	2
155	в образе	5	2
156	в которой	4	2
157	же как	4	2
158	тогда когда	2	2
159	о чем	2	2
160	значит что	2	2
