N	2gram	Losev_Vlad_2	Russkaja
1	не может	9	22
2	и не	18	19
3	в том	18	17
4	в этом	20	17
5	и в	30	14
6	то что	20	13
7	таким образом	3	11
8	то же	4	11
9	точки зрения	7	11
10	же время	3	10
11	но и	8	10
12	в то	9	10
13	том что	12	9
14	церкви и	2	9
15	не только	12	9
16	в себе	6	9
17	с точки	3	9
18	может быть	7	9
19	во всяком	6	9
20	прежде всего	6	8
21	того чтобы	2	8
22	к тому	2	7
23	и если	4	7
24	в данном	3	7
25	мы должны	4	7
26	о том	4	7
27	и с	14	7
28	что он	13	6
29	и к	6	6
30	и при	2	6
31	с тем	2	6
32	для него	9	6
33	для того	2	6
34	всяком случае	6	6
35	все это	5	6
36	в своем	8	6
37	и для	3	6
38	в своих	2	6
39	в россии	3	6
40	жизни в	2	5
41	хотя бы	3	5
42	последние дни	3	5
43	на то	2	5
44	и на	4	5
45	при этом	5	5
46	было бы	9	5
47	конечно не	4	5
48	в своей	5	5
49	он не	4	5
50	никогда не	7	5
51	в нем	4	5
52	во всех	3	5
53	в последние	2	5
54	по существу	3	5
55	а в	11	5
56	потому что	9	5
57	только в	6	5
58	но не	3	4
59	что в	12	4
60	тогда когда	2	4
61	как и	5	4
62	более или	3	4
63	как бы	5	4
64	себе и	2	4
65	все же	9	4
66	себя в	2	4
67	жизни и	6	4
68	вместе с	8	4
69	со стороны	4	4
70	или менее	3	4
71	что же	8	4
72	в их	2	4
73	на земле	2	4
74	не в	9	4
75	можно было	2	4
76	и то	5	4
77	в этой	4	4
78	в его	11	4
79	которой он	2	4
80	его в	4	4
81	так как	5	4
82	к этой	2	4
83	он сам	2	3
84	вселенской церкви	3	3
85	что это	4	3
86	именно в	4	3
87	из этих	3	3
88	в конце	13	3
89	в будущем	2	3
90	был и	3	3
91	всех этих	3	3
92	да и	3	3
93	и как	3	3
94	то в	5	3
95	должно быть	3	3
96	несмотря на	4	3
97	в самом	2	3
98	том чтобы	2	3
99	и потому	2	3
100	то это	4	3
101	что и	3	3
102	не есть	4	3
103	данном случае	2	3
104	россии и	2	3
105	не было	10	3
106	того что	5	3
107	и по	2	3
108	друг друга	2	3
109	что для	2	3
110	приходит к	2	3
111	и во	2	3
112	в виде	3	3
113	связи с	8	3
114	из этого	5	3
115	конце концов	3	3
116	этого не	2	2
117	нисколько не	2	2
118	от нас	2	2
119	и есть	2	2
120	в частности	2	2
121	у него	19	2
122	его и	2	2
123	бы его	2	2
124	и от	2	2
125	с этим	5	2
126	к той	2	2
127	точно так	3	2
128	народа и	2	2
129	это в	3	2
130	по себе	5	2
131	ни в	7	2
132	разумеется что	2	2
133	уже не	3	2
134	к такому	3	2
135	так что	5	2
136	но это	4	2
137	есть и	2	2
138	настоящее время	2	2
139	она не	2	2
140	и о	4	2
141	в ней	4	2
142	в котором	5	2
143	в настоящее	2	2
144	для себя	5	2
145	для нас	7	2
146	время в	4	2
147	отношения к	3	2
148	если не	2	2
149	в течение	5	2
150	все эти	5	2
151	и вот	3	2
152	и что	5	2
153	а не	7	2
154	и наконец	4	2
155	и даже	10	2
156	к нему	2	2
157	так же	4	2
158	во многих	2	2
159	в таком	3	2
160	том же	3	2
161	в результате	5	2
162	их в	2	2
163	не о	2	2
164	даже и	3	2
165	мы уже	2	2
166	в начале	4	2
167	последнее время	2	2
168	на эту	2	2
169	говоря о	3	2
170	как будто	2	2
171	в этих	4	2
172	с ним	5	2
173	в области	3	2
174	но в	8	2
