N	2gram	Bakhtin_sl_2	Myshleni
1	то что	2	26
2	что он	2	25
3	в этом	16	25
4	таким образом	8	19
5	в том	5	18
6	не может	20	18
7	точки зрения	8	18
8	того чтобы	2	17
9	что в	3	16
10	и в	39	16
11	так как	4	16
12	не только	24	16
13	том что	5	15
14	для того	2	14
15	в сущности	6	13
16	сказать что	3	13
17	в процессе	13	13
18	отношению к	4	12
19	по отношению	4	12
20	и не	22	12
21	в области	2	12
22	отношение к	4	11
23	в его	7	11
24	но не	6	10
25	с помощью	4	10
26	как мы	7	10
27	а не	14	10
28	только в	5	10
29	в отношении	4	9
30	может быть	37	9
31	с точки	3	9
32	точка зрения	2	8
33	о том	2	8
34	как это	3	8
35	в основе	4	8
36	как и	6	8
37	он не	2	8
38	то же	4	8
39	в нем	19	7
40	но он	2	7
41	так и	15	7
42	по себе	5	7
43	не в	9	6
44	но и	21	6
45	что оно	4	6
46	и на	4	6
47	как он	2	6
48	но в	6	6
49	у него	3	6
50	связанные с	4	6
51	языка и	9	6
52	в той	4	6
53	речи и	3	6
54	в другом	2	6
55	должна быть	3	5
56	никогда не	7	5
57	в своем	6	5
58	для него	7	5
59	как бы	7	5
60	в сфере	2	5
61	но мы	2	5
62	хотя бы	3	5
63	еще более	2	5
64	этом отношении	3	5
65	не знает	2	5
66	в то	4	5
67	с ним	7	5
68	тогда когда	2	5
69	как в	13	5
70	того как	2	5
71	не могут	5	4
72	все эти	6	4
73	с другой	5	4
74	это не	5	4
75	сама по	3	4
76	речи как	2	4
77	в свою	3	4
78	в пределах	13	4
79	при этом	7	4
80	и их	5	4
81	в свете	3	4
82	мышления и	5	4
83	именно в	2	4
84	речи не	2	4
85	в результате	2	4
86	точек зрения	3	4
87	с их	3	4
88	еще не	7	4
89	за пределы	2	4
90	вместе с	2	4
91	той же	3	4
92	могут быть	7	4
93	не менее	4	3
94	прежде всего	8	3
95	как уже	2	3
96	в смысле	4	3
97	и как	3	3
98	но это	3	3
99	свою очередь	2	3
100	одной стороны	5	3
101	но как	2	3
102	до конца	17	3
103	к нему	3	3
104	мы видели	2	3
105	значение в	2	3
106	его и	2	3
107	в их	2	3
108	с одной	5	3
109	они не	2	3
110	а в	4	3
111	и с	9	3
112	к его	2	3
113	говорить о	3	3
114	в этих	7	3
115	между тем	3	3
116	мы не	2	3
117	и более	2	3
118	и чужого	2	3
119	с этим	2	3
120	в одном	2	3
121	этом случае	6	3
122	включает в	2	3
123	все же	6	3
124	это и	2	3
125	требует от	2	3
126	чем в	2	3
127	с таким	2	3
128	что и	3	3
129	сих пор	2	3
130	на этом	3	3
131	в себя	2	3
132	и его	33	3
133	связи с	3	3
134	в чем	3	3
135	как с	2	3
136	до сих	2	3
137	и другие	2	2
138	себя и	4	2
139	и от	3	2
140	но все	5	2
141	на его	2	2
142	одним из	2	2
143	в ней	3	2
144	связи и	2	2
145	в отличие	12	2
146	все это	16	2
147	язык и	7	2
148	отношения к	4	2
149	те же	2	2
150	и даже	7	2
151	может иметь	3	2
152	и здесь	2	2
153	в истории	11	2
154	и между	2	2
155	в более	2	2
156	в зависимости	4	2
157	в них	6	2
158	вовсе не	10	2
159	его в	4	2
160	стороны и	3	2
161	в различных	2	2
162	не с	3	2
163	и к	6	2
164	отличие от	13	2
165	зависимости от	4	2
166	во всем	4	2
167	все что	2	2
168	слов и	3	2
169	со всеми	2	2
170	жизни и	6	2
171	и потому	7	2
172	и другим	2	2
173	во всех	12	2
174	этого процесса	3	2
175	языка не	4	2
176	во всяком	3	2
177	его язык	3	2
178	сознание и	3	2
179	на протяжении	2	2
180	ту же	3	2
