N	2gram	Losev_Dial_2	VelikijI
1	и не	30	20
2	и в	19	16
3	то что	14	9
4	так как	14	9
5	еще не	4	8
6	в истории	2	8
7	что они	6	7
8	и потому	5	7
9	а не	16	7
10	человека и	2	6
11	не есть	47	6
12	в мире	2	5
13	как бы	14	5
14	но и	12	5
15	все это	4	5
16	что есть	2	5
17	того что	6	5
18	во мне	4	4
19	и есть	4	4
20	и я	2	4
21	что он	6	4
22	в нем	10	4
23	как и	10	4
24	это еще	2	4
25	что мы	2	4
26	так и	10	4
27	что не	6	4
28	потому что	14	4
29	в этом	8	4
30	в ней	2	4
31	говорить о	5	4
32	и все	12	4
33	должна быть	5	3
34	что в	7	3
35	в этих	3	3
36	в конце	2	3
37	в жизни	2	3
38	ни в	10	3
39	в том	14	3
40	не в	8	3
41	но это	7	3
42	что я	2	3
43	мы же	2	3
44	и мы	3	3
45	к тому	2	3
46	во всех	2	3
47	никогда не	9	3
48	то это	2	3
49	что и	5	3
50	жизни и	6	3
51	как не	2	3
52	в своей	8	3
53	бы и	2	3
54	тому что	2	3
55	не было	3	3
56	и они	2	3
57	и что	5	3
58	хотя бы	4	3
59	должно быть	7	3
60	их в	2	3
61	от этого	3	3
62	личности и	6	3
63	все эти	2	3
64	в чем	3	3
65	но в	2	3
66	мы это	2	2
67	не могут	4	2
68	с тем	2	2
69	личности а	2	2
70	это не	10	2
71	в личности	4	2
72	прежде всего	8	2
73	есть уже	2	2
74	да и	6	2
75	том что	10	2
76	когда я	2	2
77	но не	6	2
78	это мы	2	2
79	конечно не	6	2
80	не только	19	2
81	но мы	2	2
82	и т	17	2
83	не будет	2	2
84	ее в	2	2
85	и тогда	3	2
86	т д	15	2
87	личность как	2	2
88	все равно	5	2
89	это все	2	2
90	тем что	2	2
91	уже не	3	2
92	его не	2	2
93	а в	4	2
94	с ним	4	2
95	и то	7	2
96	между тем	2	2
97	могут быть	4	2
98	только в	5	2
99	и это	5	2
100	во всяком	2	2
101	которые не	2	2
