N	2gram	Losev_Dial_3	KFilosof
1	может быть	13	43
2	в его	2	39
3	в нем	3	31
4	не может	19	27
5	и не	27	26
6	и в	24	22
7	в себе	2	21
8	не есть	54	19
9	а не	26	17
10	и его	5	17
11	только в	5	16
12	точки зрения	25	13
13	в этом	8	13
14	ни в	9	12
15	для него	4	12
16	но не	2	12
17	и это	4	12
18	все эти	3	11
19	не в	3	11
20	к нему	3	11
21	из себя	2	10
22	в своем	3	10
23	это не	4	10
24	все это	6	10
25	от себя	4	10
26	с точки	14	10
27	и есть	16	9
28	но и	9	9
29	в их	2	9
30	как бы	3	9
31	и все	6	9
32	бытия и	2	9
33	и для	2	9
34	не было	3	8
35	мир в	3	8
36	если бы	6	8
37	было бы	5	8
38	жизни и	5	8
39	со стороны	2	8
40	и здесь	2	7
41	во всем	3	7
42	вовсе не	13	7
43	конечно не	4	7
44	что и	6	7
45	то что	14	7
46	себя в	2	7
47	я должен	4	7
48	быть только	2	7
49	я не	6	6
50	и я	3	6
51	в смысле	2	6
52	в том	5	6
53	но это	5	6
54	и только	6	6
55	отнюдь не	10	6
56	мир как	8	6
57	совершенно не	2	6
58	он не	5	6
59	не значит	3	6
60	уже не	5	6
61	никогда не	7	5
62	хотя бы	4	5
63	то же	6	5
64	его как	3	5
65	от его	2	5
66	именно в	2	5
67	не имеет	11	5
68	должно быть	3	5
69	в основе	3	5
70	но как	2	5
71	но в	2	5
72	не знает	3	5
73	как и	7	5
74	не только	23	5
75	для себя	2	5
76	все же	3	5
77	бытия в	2	5
78	что в	7	4
79	для нас	2	4
80	при этом	2	4
81	в своих	2	4
82	бы быть	2	4
83	мира и	3	4
84	том что	8	4
85	только как	5	4
86	о нем	4	4
87	а в	2	4
88	тем самым	3	4
89	в каком	3	4
90	в чем	4	4
91	должна быть	6	3
92	что это	12	3
93	не менее	11	3
94	лишь как	2	3
95	и пр	6	3
96	в виду	7	3
97	и тем	2	3
98	от того	4	3
99	меня и	2	3
100	того что	12	3
101	и на	3	3
102	людей и	2	3
103	в ней	2	3
104	в то	5	3
105	того или	3	3
106	о том	6	3
107	и ни	3	3
108	прошлое и	2	3
109	мы не	5	3
110	сознания и	4	3
111	тогда когда	5	3
112	ясно что	7	3
113	или иного	2	3
114	меня в	2	3
115	еще не	2	3
116	нет и	4	3
117	с моей	2	3
118	быть и	3	3
119	самом деле	6	3
120	для того	3	3
121	что не	5	3
122	что этот	2	3
123	тем что	3	3
124	могут быть	2	3
125	и жизни	6	3
126	и этим	3	3
127	ничего не	17	3
128	сознания в	2	2
129	можно ли	5	2
130	бытие и	3	2
131	я уже	7	2
132	прежде всего	8	2
133	вопрос о	5	2
134	или иной	4	2
135	все остальное	4	2
136	тем не	10	2
137	и как	8	2
138	это есть	8	2
139	же время	3	2
140	но для	2	2
141	не о	2	2
142	себя и	2	2
143	по себе	20	2
144	тому что	4	2
145	для этого	2	2
146	что есть	4	2
147	быть не	2	2
148	ее от	2	2
149	потому что	7	2
150	однако что	2	2
151	он и	3	2
152	той или	2	2
153	говорить о	4	2
154	пространства и	2	2
155	себя как	3	2
156	я и	2	2
157	ни к	3	2
158	с его	2	2
159	и то	4	2
160	из нее	2	2
161	раз и	3	2
162	думать что	2	2
163	что он	13	2
164	при условии	3	2
165	не будет	3	2
166	бы то	2	2
167	есть именно	6	2
168	со всеми	2	2
169	и когда	2	2
170	и потому	2	2
171	и эти	2	2
172	оно не	6	2
173	можно и	3	2
174	так и	5	2
175	если я	2	2
176	чего не	4	2
177	в виде	8	2
178	если не	3	2
179	это и	7	2
180	и она	2	2
181	жизнь и	4	2
182	в данном	2	2
183	чтобы быть	4	2
184	в некое	2	2
185	есть момент	2	2
186	его на	2	2
187	а для	2	2
