N	2gram	Nazirov_Tv_1	Mirosoze
1	и в	21	46
2	у достоевского	28	34
3	в нем	3	22
4	у него	7	22
5	может быть	5	21
6	в этом	6	20
7	никогда не	3	18
8	для него	6	18
9	и не	7	18
10	не только	7	18
11	во имя	2	16
12	но и	3	15
13	не может	4	15
14	человека в	6	14
15	ведет к	2	13
16	как и	12	13
17	иван карамазов	2	13
18	а не	5	13
19	прежде всего	4	12
20	к человеку	3	12
21	потому что	5	12
22	в ней	2	11
23	но он	2	11
24	и он	2	11
25	та же	4	10
26	но в	7	10
27	он не	8	10
28	в себе	2	10
29	не в	2	9
30	не знает	2	9
31	переходит в	2	8
32	но это	5	8
33	как бы	17	8
34	в своем	4	8
35	в любви	2	8
36	для достоевского	4	8
37	так как	3	8
38	и достоевский	2	8
39	на земле	3	8
40	человека и	4	7
41	в мире	4	7
42	в этой	5	7
43	что он	6	7
44	человеческой личности	3	7
45	как в	8	7
46	хотя бы	5	7
47	он сам	6	6
48	так же	3	6
49	в бесах	3	6
50	того что	3	6
51	и зла	2	6
52	жизни и	3	6
53	не могу	2	6
54	в русской	5	6
55	то же	13	5
56	я не	3	5
57	что все	3	5
58	в самом	3	5
59	один из	4	5
60	что она	2	5
61	добра и	3	5
62	достоевского к	3	5
63	это не	4	5
64	и все	6	5
65	в духе	2	5
66	есть не	2	5
67	бога и	2	5
68	достоевский не	4	5
69	к тому	2	5
70	по преимуществу	2	5
71	то что	8	5
72	в своей	4	5
73	и его	6	5
74	в его	13	5
75	что в	12	4
76	до конца	2	4
77	свободы и	2	4
78	с его	11	4
79	в жизни	2	4
80	в свою	7	4
81	том что	11	4
82	что и	2	4
83	так и	2	4
84	уже не	3	4
85	на деле	2	4
86	прогресса и	2	3
87	и от	4	3
88	в каждом	3	3
89	в том	7	3
90	достоевский в	3	3
91	было в	2	3
92	достоевским в	4	3
93	и против	2	3
94	личности он	2	3
95	жизни в	6	3
96	творчество достоевского	3	3
97	не мог	2	3
98	не так	3	3
99	в своих	5	3
100	и на	7	3
101	людей и	2	3
102	сказать что	2	3
103	и с	3	3
104	творчестве достоевского	5	3
105	о том	6	3
106	в россии	3	3
107	с ним	3	3
108	не существует	3	3
109	страдания и	2	3
110	достоевского не	6	3
111	с которым	2	3
112	это и	3	3
113	самого достоевского	3	3
114	и иван	2	3
115	не будет	2	3
116	сам достоевский	2	3
117	жизни он	2	3
118	на смену	2	3
119	для человека	3	3
120	той же	3	3
121	и человек	2	3
122	только в	5	3
123	в сне	2	3
124	в творчестве	6	3
125	в чем	2	3
126	место в	3	2
127	уже в	3	2
128	не был	3	2
129	в этих	2	2
130	и мир	2	2
131	быть может	2	2
132	ее и	2	2
133	в человеке	4	2
134	что человек	3	2
135	смешного человека	3	2
136	я и	3	2
137	верит в	2	2
138	человека его	2	2
139	так что	2	2
140	из подполья	13	2
141	на его	3	2
142	хотя и	3	2
143	же и	2	2
144	этом он	2	2
145	людей в	2	2
146	но она	2	2
147	не имеют	4	2
148	как к	2	2
149	и других	3	2
150	достоевского и	3	2
151	в новых	2	2
152	а в	6	2
153	человека если	2	2
154	в основе	2	2
155	личности и	2	2
156	герои достоевского	4	2
157	приходит к	3	2
158	не случайно	4	2
159	нет ни	2	2
160	по достоевскому	2	2
161	сне смешного	2	2
162	преступление и	5	2
163	и та	2	2
164	не означает	2	2
165	личности в	2	2
166	то в	2	2
167	каждом человеке	2	2
168	тот же	2	2
169	мысль о	2	2
170	свою противоположность	2	2
171	к ней	2	2
172	еще в	2	2
173	вместе с	2	2
174	ее в	3	2
175	еще более	2	2
176	говорит что	2	2
177	что не	2	2
178	вот почему	3	2
179	когда человек	2	2
180	свою вину	2	2
181	как будто	5	2
182	достоевского в	12	2
183	в идиоте	3	2
184	в которой	3	2
