N	2gram	Bakhtin_KF_1	StatiiOP
1	и в	24	25
2	в этом	14	24
3	в том	6	20
4	что в	4	19
5	что он	2	19
6	может быть	45	19
7	тем что	3	19
8	что это	3	16
9	том что	4	15
10	в этой	2	14
11	и пр	3	13
12	в его	40	12
13	то что	7	12
14	не только	5	12
15	прежде всего	2	10
16	и не	26	10
17	но и	9	9
18	все это	10	8
19	в своих	3	8
20	о том	3	8
21	это было	2	8
22	это не	10	7
23	было бы	8	7
24	не может	27	7
25	точки зрения	12	7
26	из его	3	7
27	в то	3	7
28	место в	5	6
29	не в	12	6
30	только в	16	6
31	как бы	9	6
32	как в	2	6
33	а в	4	6
34	и на	3	6
35	в области	2	6
36	между тем	4	6
37	то же	5	5
38	независимо от	3	5
39	потому что	2	5
40	ни в	12	5
41	в котором	24	5
42	и это	12	5
43	а не	17	5
44	того что	3	5
45	он не	6	5
46	так и	2	5
47	мы имеем	5	5
48	но в	5	5
49	с тем	2	4
50	в жизни	2	4
51	в каждом	3	4
52	этом смысле	3	4
53	а как	2	4
54	в смысле	6	4
55	как и	5	4
56	это есть	2	4
57	но это	6	4
58	в качестве	2	4
59	если бы	8	4
60	в ней	3	4
61	и тем	3	4
62	в своей	10	4
63	в целом	10	4
64	отношение к	5	4
65	не было	8	4
66	лишь в	8	4
67	из которых	2	4
68	с точки	9	4
69	в чем	4	4
70	к нему	12	4
71	и для	9	4
72	в каком	4	4
73	все же	5	4
74	ничего не	3	4
75	тому что	2	3
76	к этому	2	3
77	же время	2	3
78	и здесь	7	3
79	всех этих	3	3
80	его как	5	3
81	для него	8	3
82	что я	5	3
83	до конца	3	3
84	нет в	4	3
85	на язык	3	3
86	все эти	10	3
87	я имею	3	3
88	со стороны	7	3
89	в их	8	3
90	что этот	3	3
91	уже не	7	3
92	другое дело	2	3
93	и его	17	3
94	в виде	2	3
95	говорить о	2	3
96	в другом	3	3
97	я и	2	3
98	которой я	2	3
99	а с	2	2
100	не менее	3	2
101	никогда не	5	2
102	себя и	2	2
103	он может	2	2
104	для этого	2	2
105	тогда когда	3	2
106	вовсе не	7	2
107	его к	2	2
108	и ее	2	2
109	или иной	2	2
110	а по	2	2
111	не как	4	2
112	но все	5	2
113	но не	12	2
114	времени и	4	2
115	в свою	3	2
116	еще не	4	2
117	и может	3	2
118	в это	2	2
119	во всех	11	2
120	в виду	3	2
121	к историческому	2	2
122	нет и	3	2
123	один из	2	2
124	должен быть	7	2
125	здесь нет	2	2
126	тем не	2	2
127	и за	2	2
128	дело не	2	2
129	и только	6	2
130	быть не	2	2
131	с ее	2	2
132	и других	2	2
133	от того	3	2
134	самом деле	3	2
135	для того	3	2
136	что не	3	2
137	мы не	3	2
138	на основе	7	2
139	тем как	3	2
140	но есть	2	2
141	могут быть	3	2
142	имеем в	2	2
143	он и	2	2
144	но как	5	2
145	этого слова	2	2
146	жизни но	3	2
147	стал бы	2	2
148	что эта	2	2
149	и ни	3	2
150	не имеет	5	2
151	если я	2	2
152	не потому	2	2
