N	3gram	Propp_Isto_1	Problema
1	о том что	3	14
2	тем не менее	6	12
3	и т д	22	6
4	как будто бы	2	5
5	то же самое	3	5
6	с одной стороны	4	5
7	с другой стороны	5	5
8	в связи с	3	5
9	на то что	4	4
10	более или менее	5	4
11	до сих пор	5	4
12	в том что	4	4
13	точно так же	3	3
14	в чистом виде	2	3
15	не может быть	7	3
16	но и в	2	3
17	с самого начала	2	2
18	по этому поводу	2	2
19	бы то ни	2	2
20	вопрос о том	2	2
21	и тот же	2	2
22	должны были бы	2	2
23	можно было бы	3	2
24	само по себе	2	2
25	один и тот	2	2
