N	2gram	Savitsky_P_1	Tvorches
1	и в	14	21
2	как бы	4	17
3	в то	7	15
4	в его	2	13
5	то же	9	13
6	что в	4	12
7	же время	7	12
8	том что	4	11
9	все это	2	10
10	то что	4	8
11	в том	9	7
12	тем самым	3	7
13	не только	17	7
14	и не	12	7
15	но в	9	7
16	не менее	2	6
17	в котором	4	6
18	а в	4	6
19	в этом	10	6
20	xix века	6	6
21	отнюдь не	2	5
22	а не	2	5
23	может быть	5	5
24	хотя бы	8	5
25	потому что	3	5
26	только в	7	5
27	в русской	4	5
28	в своем	4	4
29	прежде всего	3	4
30	в мире	2	4
31	и как	3	4
32	не может	4	4
33	это не	3	4
34	с другой	5	3
35	но не	3	3
36	в нем	3	3
37	и т	3	3
38	время в	2	3
39	но и	6	3
40	и других	2	3
41	того что	2	3
42	и с	2	3
43	хотя и	3	3
44	в виде	2	3
45	в россии	3	3
46	я и	3	3
47	в частности	2	2
48	в качестве	9	2
49	не столько	2	2
50	в жизни	2	2
51	в с	4	2
52	есть не	2	2
53	не в	5	2
54	быть может	6	2
55	одна из	2	2
56	было в	2	2
57	не нужно	2	2
58	тот же	3	2
59	мысль о	2	2
60	из них	2	2
61	в ней	6	2
62	если в	2	2
63	и тем	2	2
64	вслед за	3	2
65	во всей	2	2
66	именно в	2	2
67	еще более	2	2
68	могут быть	3	2
69	в себе	3	2
