N	3gram	Losev_Vesc_1	Vvedenie
1	и т д	19	36
2	для того чтобы	2	20
3	о том что	4	12
4	в том что	4	12
5	тем не менее	3	8
6	не может быть	6	8
7	в самом деле	4	6
8	с другой стороны	2	5
9	т е в	7	4
10	в данном случае	2	4
11	по крайней мере	4	4
12	не только в	4	4
13	с одной стороны	3	4
14	что иное как	7	4
15	по сравнению с	6	4
16	не что иное	7	4
17	во всяком случае	2	4
18	так или иначе	4	4
19	в свое время	2	3
20	можно сказать что	3	3
21	в собственном смысле	2	3
22	сама по себе	3	3
23	а так как	2	2
24	в конце концов	2	2
25	дело в том	2	2
26	с точки зрения	3	2
27	есть не что	5	2
28	дело не с	2	2
29	в чем же	3	2
30	подобно тому как	4	2
31	всего то что	2	2
32	как она есть	3	2
