N	2gram	Tiupa_Disk_2	formyVre
1	и в	16	46
2	в этом	16	22
3	прежде всего	7	14
4	и его	3	12
5	только в	3	11
6	не только	10	11
7	в том	8	10
8	как бы	4	10
9	точки зрения	4	10
10	то есть	12	10
11	но в	11	10
12	не в	3	9
13	мира и	4	9
14	вместе с	2	9
15	но и	11	9
16	и не	15	9
17	и для	2	9
18	как и	16	8
19	в его	3	8
20	жизни и	3	8
21	то же	6	8
22	с точки	2	8
23	потому что	4	8
24	из них	3	8
25	в них	3	7
26	в одном	4	7
27	может быть	16	7
28	то что	5	7
29	так и	9	7
30	времени в	4	7
31	и на	5	7
32	картину мира	4	7
33	никогда не	2	6
34	и все	3	6
35	при этом	17	6
36	здесь в	3	6
37	еще не	6	6
38	этом мире	2	6
39	его в	3	6
40	все же	6	6
41	все это	2	6
42	человека в	4	6
43	и наконец	3	6
44	в основе	4	6
45	и с	2	6
46	в частности	12	5
47	в своем	5	5
48	в пределах	4	5
49	в то	5	5
50	но не	7	5
51	он не	3	5
52	в нем	7	5
53	что в	5	5
54	все эти	3	5
55	должно быть	2	5
56	место в	2	4
57	отнюдь не	6	4
58	жизни в	3	4
59	из этих	3	4
60	же время	5	4
61	том что	10	4
62	в ряду	2	4
63	в котором	3	4
64	в мире	11	4
65	как в	8	4
66	человеческой жизни	2	4
67	а не	14	4
68	также и	3	4
69	их в	2	4
70	в себе	19	4
71	о том	4	4
72	не было	3	3
73	о чем	2	3
74	не является	4	3
75	того же	2	3
76	к этому	4	3
77	как уже	2	3
78	на первый	2	3
79	что он	2	3
80	и как	3	3
81	в качестве	16	3
82	в большинстве	2	3
83	для него	5	3
84	себе самому	2	3
85	а также	8	3
86	что на	2	3
87	что и	2	3
88	отношение к	2	3
89	не на	2	3
90	уже не	3	3
91	и прежде	2	3
92	а в	2	3
93	роль в	4	3
94	в другом	3	3
95	в этих	3	3
96	мира в	3	3
97	а потом	2	2
98	говорить о	2	2
99	с другой	5	2
100	это не	3	2
101	но здесь	2	2
102	прошлым и	3	2
103	одном из	3	2
104	или иной	3	2
105	можно сказать	3	2
106	картина мира	4	2
107	именно в	2	2
108	в этой	4	2
109	отсюда и	2	2
110	картины мира	7	2
111	картине мира	2	2
112	жизни а	3	2
113	ни для	4	2
114	жизни но	3	2
115	принадлежит к	3	2
116	этом случае	2	2
117	и т.п	12	2
118	не может	9	2
119	здесь не	2	2
120	этом отношении	4	2
121	с одной	4	2
122	чем не	2	2
123	в себя	2	2
124	в той	2	2
125	образ человека	2	2
126	жизни как	2	2
127	как на	3	2
128	в данном	7	2
129	но это	3	2
130	мы имеем	2	2
131	могут быть	3	2
132	не знает	3	2
133	далеко не	2	2
134	и это	2	2
135	мире и	3	2
