N	3gram	Vygotskiy__2	KulturaY
1	и т п	8	18
2	в том что	17	15
3	для того чтобы	13	15
4	и т д	2	14
5	с точки зрения	10	9
6	в том чтобы	3	8
7	в самом деле	11	7
8	только потому что	2	6
9	с другой стороны	2	6
10	в этом отношении	5	5
11	о том что	4	5
12	во всяком случае	2	5
13	том что он	3	4
14	до сих пор	5	4
15	не в том	2	4
16	тем не менее	4	4
17	только в том	4	3
18	можно было бы	4	3
19	состоит в том	2	3
20	в свою очередь	2	3
21	не может быть	8	3
22	того или иного	2	3
23	то же время	2	2
24	к тому что	2	2
25	и в самом	4	2
26	этой точки зрения	2	2
27	на то что	6	2
28	в то же	2	2
29	на самом деле	5	2
30	заключается в том	10	2
31	в том и	2	2
