N	3gram	Vinokur_Ku_3	Formalny
1	с точки зрения	16	14
2	не может быть	3	14
3	на самом деле	3	12
4	и т д	8	6
5	и т п	41	5
6	с другой стороны	3	5
7	в зависимости от	7	5
8	в данном случае	4	4
9	в самом деле	11	4
10	в связи с	4	4
11	для того чтобы	11	4
12	в том что	8	3
13	по отношению к	2	3
14	смысле этого слова	2	2
15	т п в	3	2
16	то или иное	2	2
17	так и в	3	2
18	тем не менее	9	2
19	в отличие от	2	2
20	и тем же	2	2
21	как мы видели	2	2
22	формы и содержания	2	2
23	только то что	2	2
24	дело не в	2	2
25	одним и тем	2	2
